 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    200.000     199.843         0.030      16.771      1.6999e-01      1.0267e-03      1.7453e-04      8.6329e-05    1.448e-03     2.548e+03       5.23e-02    6.58e-03    4169 
    200.000     199.843         0.040      16.771      1.6999e-01      2.9418e-03      5.0009e-04      2.4266e-04    4.070e-03     9.066e+02       1.47e-01    1.85e-02    10575 
    200.000     199.843         0.050      16.771      1.6999e-01      5.7805e-03      9.8265e-04      4.7193e-04    7.914e-03     4.662e+02       2.86e-01    3.60e-02    19872 
    200.000     199.843         0.060      16.771      1.6999e-01      9.3367e-03      1.5872e-03      7.5731e-04    1.270e-02     2.905e+02       4.58e-01    5.77e-02    31141 
    200.000     199.843         0.070      16.771      1.6999e-01      1.3605e-02      2.3128e-03      1.0964e-03    1.839e-02     2.006e+02       6.64e-01    8.36e-02    44318 
    200.000     199.843         0.080      16.771      1.6999e-01      1.8138e-02      3.0834e-03      1.4544e-03    2.439e-02     1.513e+02       8.80e-01    1.11e-01    57932 
    200.000     199.843         0.090      16.771      1.6999e-01      2.2868e-02      3.8874e-03      1.8312e-03    3.071e-02     1.201e+02       1.11e+00    1.40e-01    72555 
    200.000     199.843         0.100      16.771      1.6999e-01      2.7603e-02      4.6923e-03      2.2067e-03    3.701e-02     9.970e+01       1.34e+00    1.68e-01    87309 
    200.000     199.843         0.150      16.771      1.6999e-01      4.9164e-02      8.3577e-03      3.9079e-03    6.554e-02     5.630e+01       2.37e+00    2.98e-01    157936 
    200.000     199.843         0.200      16.771      1.6999e-01      6.5008e-02      1.1051e-02      5.1526e-03    8.641e-02     4.270e+01       3.12e+00    3.93e-01    217216 
    200.000     199.843         0.250      16.771      1.6999e-01      7.6334e-02      1.2976e-02      6.0421e-03    1.013e-01     3.641e+01       3.66e+00    4.61e-01    265624 
    200.000     199.843         0.300      16.771      1.6999e-01      8.3440e-02      1.4184e-02      6.5979e-03    1.107e-01     3.334e+01       3.99e+00    5.03e-01    304457 
    200.000     199.843         0.400      16.771      1.6999e-01      9.0550e-02      1.5393e-02      7.1401e-03    1.197e-01     3.081e+01       4.32e+00    5.44e-01    360269 
    200.000     199.843         0.500      16.771      1.6999e-01      9.2581e-02      1.5738e-02      7.2901e-03    1.223e-01     3.018e+01       4.41e+00    5.56e-01    398626 
    200.000     199.843         0.600      16.771      1.6999e-01      9.1832e-02      1.5611e-02      7.2176e-03    1.210e-01     3.048e+01       4.37e+00    5.50e-01    424438 
    200.000     199.843         0.700      16.771      1.6999e-01      9.0194e-02      1.5332e-02      7.0755e-03    1.187e-01     3.109e+01       4.28e+00    5.39e-01    444310 
    200.000     199.843         0.800      16.771      1.6999e-01      8.7340e-02      1.4847e-02      6.8358e-03    1.146e-01     3.218e+01       4.14e+00    5.21e-01    459215 
    200.000     199.843         0.900      16.771      1.6999e-01      8.4769e-02      1.4410e-02      6.6238e-03    1.111e-01     3.321e+01       4.01e+00    5.05e-01    470354 
    200.000     199.843         1.000      16.771      1.6999e-01      8.1427e-02      1.3842e-02      6.3563e-03    1.066e-01     3.461e+01       3.85e+00    4.85e-01    478761 
    200.000     199.843         1.500      16.771      1.6999e-01      6.8230e-02      1.1599e-02      5.2928e-03    8.876e-02     4.157e+01       3.20e+00    4.03e-01    503702 
    200.000     199.843         2.000      16.771      1.6999e-01      5.7804e-02      9.8264e-03      4.4616e-03    7.482e-02     4.931e+01       2.70e+00    3.40e-01    512688 
    200.000     199.843         2.500      16.771      1.6999e-01      5.0243e-02      8.5410e-03      3.8671e-03    6.485e-02     5.689e+01       2.34e+00    2.95e-01    517854 
    200.000     199.843         3.000      16.771      1.6999e-01      4.4084e-02      7.4940e-03      3.3849e-03    5.677e-02     6.500e+01       2.05e+00    2.58e-01    521066 
    200.000     199.843         4.000      16.771      1.6999e-01      3.5670e-02      6.0637e-03      2.7308e-03    4.580e-02     8.056e+01       1.65e+00    2.08e-01    522566 
    200.000     199.843         5.000      16.771      1.6999e-01      2.9808e-02      5.0672e-03      2.2754e-03    3.816e-02     9.669e+01       1.38e+00    1.73e-01    523444 
    200.000     199.843         6.000      16.771      1.6999e-01      2.5709e-02      4.3704e-03      1.9584e-03    3.284e-02     1.123e+02       1.19e+00    1.49e-01    523926 
    200.000     199.843         7.000      16.771      1.6999e-01      2.2467e-02      3.8193e-03      1.7065e-03    2.862e-02     1.289e+02       1.03e+00    1.30e-01    523447 
    200.000     199.843         8.000      16.771      1.6999e-01      2.0127e-02      3.4214e-03      1.5335e-03    2.572e-02     1.435e+02       9.28e-01    1.17e-01    523433 
    200.000     199.843         9.000      16.771      1.6999e-01      1.8078e-02      3.0732e-03      1.3730e-03    2.303e-02     1.602e+02       8.31e-01    1.05e-01    523264 
    200.000     199.843         10.000      16.771      1.6999e-01      1.6462e-02      2.7985e-03      1.2510e-03    2.098e-02     1.759e+02       7.57e-01    9.54e-02    523249  
   300.000     299.843         0.010      3.326      1.5968e-01      1.1778e-06      1.8807e-07      1.1503e-07    3.826e-07     1.912e+06       1.38e-05    1.74e-06    93 
    300.000     299.843         0.015      3.326      1.5968e-01      1.6559e-05      2.6440e-06      1.8107e-06    6.023e-06     1.215e+05       2.17e-04    2.74e-05    821 
    300.000     299.843         0.020      3.326      1.5968e-01      7.7753e-05      1.2415e-05      8.8647e-06    2.949e-05     2.482e+04       1.06e-03    1.34e-04    3424 
    300.000     299.843         0.025      3.326      1.5968e-01      2.4495e-04      3.9112e-05      2.7511e-05    9.151e-05     7.997e+03       3.30e-03    4.16e-04    9339 
    300.000     299.843         0.030      3.326      1.5968e-01      5.4982e-04      8.7792e-05      6.1509e-05    2.046e-04     3.577e+03       7.39e-03    9.30e-04    19435 
    300.000     299.843         0.040      3.326      1.5968e-01      1.6985e-03      2.7122e-04      1.8770e-04    6.243e-04     1.172e+03       2.25e-02    2.84e-03    54520 
    300.000     299.843         0.050      3.326      1.5968e-01      3.6200e-03      5.7803e-04      3.9629e-04    1.318e-03     5.551e+02       4.76e-02    5.99e-03    109005 
    300.000     299.843         0.060      3.326      1.5968e-01      6.2385e-03      9.9614e-04      6.7715e-04    2.252e-03     3.249e+02       8.13e-02    1.02e-02    180438 
    300.000     299.843         0.070      3.326      1.5968e-01      9.4850e-03      1.5145e-03      1.0254e-03    3.411e-03     2.145e+02       1.23e-01    1.55e-02    266338 
    300.000     299.843         0.080      3.326      1.5968e-01      1.3138e-02      2.0979e-03      1.4148e-03    4.706e-03     1.555e+02       1.70e-01    2.14e-02    361997 
    300.000     299.843         0.090      3.326      1.5968e-01      1.7116e-02      2.7331e-03      1.8369e-03    6.110e-03     1.198e+02       2.21e-01    2.78e-02    464715 
    300.000     299.843         0.100      3.326      1.5968e-01      2.1280e-02      3.3979e-03      2.2799e-03    7.583e-03     9.650e+01       2.74e-01    3.45e-02    572719 
    300.000     299.843         0.150      3.326      1.5968e-01      4.1925e-02      6.6943e-03      4.4654e-03    1.485e-02     4.927e+01       5.36e-01    6.75e-02    1119379 
    300.000     299.843         0.200      3.326      1.5968e-01      5.8876e-02      9.4010e-03      6.2574e-03    2.081e-02     3.516e+01       7.51e-01    9.46e-02    1611214 
    300.000     299.843         0.250      3.326      1.5968e-01      7.1576e-02      1.1429e-02      7.6015e-03    2.528e-02     2.894e+01       9.13e-01    1.15e-01    2023942 
    300.000     299.843         0.300      3.326      1.5968e-01      8.0623e-02      1.2874e-02      8.5558e-03    2.846e-02     2.571e+01       1.03e+00    1.29e-01    2367737 
    300.000     299.843         0.400      3.326      1.5968e-01      9.1091e-02      1.4545e-02      9.6538e-03    3.211e-02     2.279e+01       1.16e+00    1.46e-01    2885937 
    300.000     299.843         0.500      3.326      1.5968e-01      9.5398e-02      1.5233e-02      1.0098e-02    3.359e-02     2.179e+01       1.21e+00    1.53e-01    3247711 
    300.000     299.843         0.600      3.326      1.5968e-01      9.6267e-02      1.5372e-02      1.0175e-02    3.384e-02     2.162e+01       1.22e+00    1.54e-01    3504908 
    300.000     299.843         0.700      3.326      1.5968e-01      9.5582e-02      1.5262e-02      1.0089e-02    3.356e-02     2.181e+01       1.21e+00    1.53e-01    3698804 
    300.000     299.843         0.800      3.326      1.5968e-01      9.3542e-02      1.4936e-02      9.8618e-03    3.280e-02     2.231e+01       1.18e+00    1.49e-01    3841401 
    300.000     299.843         0.900      3.326      1.5968e-01      9.1076e-02      1.4543e-02      9.5901e-03    3.190e-02     2.294e+01       1.15e+00    1.45e-01    3953653 
    300.000     299.843         1.000      3.326      1.5968e-01      8.8597e-02      1.4147e-02      9.3160e-03    3.099e-02     2.362e+01       1.12e+00    1.41e-01    4041452 
    300.000     299.843         1.500      3.326      1.5968e-01      7.5407e-02      1.2041e-02      7.8889e-03    2.624e-02     2.789e+01       9.47e-01    1.19e-01    4285665 
