#                prod                 mint                mhscp              mrec000 
                 1404                  105                  100    6.92020639696e-05 
                 5100                  497                  150     0.00342546497786 
                 5100                 2847                  150     9.2013324371e-05 
                  404                  196                  150       0.213347868889 
                  339                  140                  100        0.11329791685 
                 1352                  457                  150       0.079817648702 
                 5100                  450                  100     0.00512377226191 
                 2518                  155                  150    2.58872719601e-05 
                  853                  298                  100      0.0558512277954 
                  152                  105                  100      0.0995150241786 
                  853                  149                  100      0.0185563691611 
                 1012                  474                  100      0.0355367816486 
                 1858                  234                  150      0.0029832333166 
                  339                  187                  100       0.117524295162 
                 1917                  105                  100     7.6669451484e-07 
                 2576                  105                  100    1.33570784846e-05 
                  338                  155                  150       0.207882741817 
                  818                  813                  150      0.0386417218544 
                 2576                 1509                  100    5.25993923875e-05 
                  716                  144                  100       0.031294205784 
                  598                  162                  100      0.0629220307269 
                 1147                  302                  150      0.0768604498499 
                  412                  407                  100      0.0632793739968 
                 1147                  587                  150       0.076123536935 
                 5100                  277                  100    3.25130979691e-05 
                  339                  334                  100       0.090122815117 
                  853                  848                  100     0.00631832748695 
                 2972                 2967                  100    0.000170036182749 
                 2518                  392                  150      0.0207477063095 
                 1195                  105                  100    0.000289952541497 
                 1012                  105                  100     0.00136781797172 
                  404                  155                  150        0.18219272395 
                 1917                 1912                  100    0.000692395188763 
                 1588                 1075                  150     0.00674605153175 
                  228                  153                  100       0.116340872887 
                 3916                  105                  100                  0.0 
                 2167                  373                  150      0.0271820382511 
                  165                  157                  150       0.193666835953 
                 3369                  432                  150      0.0127215132213 
                  497                  227                  100      0.0939511381222 
                 2226                  803                  100     0.00964801405304 
                  203                  175                  150       0.191316509249 
                 4454                  830                  150      0.0314846002572 
                 3880                 3875                  150    0.000506788849148 
                 1858                  810                  150      0.0346129143275 
                  970                  387                  150       0.117753668409 
                 1858                 1853                  150     0.00173302076623 
                 4454                  475                  150     0.00596597828949 
                  338                  188                  150        0.22025136237 
                 1588                  336                  150      0.0462763645962 
                 3916                 2140                  100    2.51506851837e-07 
                  598                  250                  100      0.0806871559706 
                  716                  199                  100      0.0604828878817 
                  598                  105                  100      0.0208625967604 
                 1012                  325                  100      0.0469821855311 
                 4475                  367                  100     0.00178460724696 
                 2972                  320                  100     0.00562228606785 
                  186                  181                  100       0.124052857664 
                  284                  208                  150       0.215382973217 
                 2972                  974                  100     0.00524319854281 
                 1644                  415                  100      0.0302904370867 
                 2518                 1580                  150    0.000274393348638 
                 1644                  656                  100      0.0156548360753 
                  577                  413                  150       0.164208820144 
                 2972                  558                  100      0.0179446007917 
                 1147                  819                  150       0.025684752052 
                  483                  155                  150       0.141922958662 
                  818                  537                  150       0.100466678569 
                 5100                 3136                  100    2.51496403601e-05 
                 1588                  155                  150    0.000366736020564 
                 2576                  179                  100    2.90030526133e-05 
                  338                  227                  150       0.222715468904 
                 3369                 2014                  150    4.79995805281e-05 
                 2518                  993                  150      0.0199442451667 
                 1352                  319                  150      0.0601986913894 
                 3369                  259                  150    7.03963203778e-05 
                 1588                  730                  150      0.0455103642568 
                  970                  285                  150      0.0970475399563 
                 1352                 1347                  150     0.00601040026928 
                 2576                  885                  100     0.00693765733536 
                  598                  385                  100      0.0617232370405 
                 3369                 1206                  150      0.0118069206911 
                  688                  683                  150      0.0670924864527 
                  716                  517                  100      0.0290149256359 
                  497                  154                  100       0.079097866658 
                 3416                 3411                  100    0.000160932117317 
                  404                  315                  150       0.215442603806 
