txName: T1bbbb
conditionDescription: None
condition: None
constraint: [[['b','b']],[['b','b']]]
checked: AL
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS12024/T1bbbb_exclusions_corrected.pdf
validated: None
axes: 2*Eq(mother,x)_Eq(lsp,y)
publishedData: True
[[[700.0*GeV, 250.0*GeV], [700.0*GeV, 250.0*GeV]], 0.0413990232168],
[[[700.0*GeV, 300.0*GeV], [700.0*GeV, 300.0*GeV]], 0.0407782901802],
[[[700.0*GeV, 350.0*GeV], [700.0*GeV, 350.0*GeV]], 0.0322733291013],
[[[700.0*GeV, 400.0*GeV], [700.0*GeV, 400.0*GeV]], 0.0220946764977],
[[[700.0*GeV, 450.0*GeV], [700.0*GeV, 450.0*GeV]], 0.0113748122525],
[[[700.0*GeV, 500.0*GeV], [700.0*GeV, 500.0*GeV]], 0.00533876596478],
[[[700.0*GeV, 550.0*GeV], [700.0*GeV, 550.0*GeV]], 0.00203059695393],
[[[700.0*GeV, 600.0*GeV], [700.0*GeV, 600.0*GeV]], 0.000554494750059],
[[[700.0*GeV, 650.0*GeV], [700.0*GeV, 650.0*GeV]], 3.27390811375e-05],
[[[750.0*GeV, 50.0*GeV], [750.0*GeV, 50.0*GeV]], 0.0244658621527],
[[[750.0*GeV, 100.0*GeV], [750.0*GeV, 100.0*GeV]], 0.0275709801941],
[[[750.0*GeV, 150.0*GeV], [750.0*GeV, 150.0*GeV]], 0.0327234234234],
[[[750.0*GeV, 200.0*GeV], [750.0*GeV, 200.0*GeV]], 0.0362742433713],
[[[750.0*GeV, 250.0*GeV], [750.0*GeV, 250.0*GeV]], 0.0404044313814],
[[[750.0*GeV, 300.0*GeV], [750.0*GeV, 300.0*GeV]], 0.0425002939394],
[[[750.0*GeV, 350.0*GeV], [750.0*GeV, 350.0*GeV]], 0.0405951810063],
[[[750.0*GeV, 400.0*GeV], [750.0*GeV, 400.0*GeV]], 0.0327963440568],
[[[750.0*GeV, 450.0*GeV], [750.0*GeV, 450.0*GeV]], 0.0218290729765],
[[[750.0*GeV, 500.0*GeV], [750.0*GeV, 500.0*GeV]], 0.0119620413863],
[[[750.0*GeV, 550.0*GeV], [750.0*GeV, 550.0*GeV]], 0.0056649040982],
[[[750.0*GeV, 600.0*GeV], [750.0*GeV, 600.0*GeV]], 0.00213484577438],
[[[750.0*GeV, 650.0*GeV], [750.0*GeV, 650.0*GeV]], 0.000593145318522],
[[[750.0*GeV, 700.0*GeV], [750.0*GeV, 700.0*GeV]], 3.22585424911e-05],
[[[775.0*GeV, 50.0*GeV], [775.0*GeV, 50.0*GeV]], 0.0205346392951],
[[[775.0*GeV, 100.0*GeV], [775.0*GeV, 100.0*GeV]], 0.0234818035138],
[[[775.0*GeV, 150.0*GeV], [775.0*GeV, 150.0*GeV]], 0.0280369016255],
[[[775.0*GeV, 200.0*GeV], [775.0*GeV, 200.0*GeV]], 0.0324180158858],
[[[775.0*GeV, 250.0*GeV], [775.0*GeV, 250.0*GeV]], 0.0367374629684],
[[[775.0*GeV, 300.0*GeV], [775.0*GeV, 300.0*GeV]], 0.0403036518842],
[[[775.0*GeV, 350.0*GeV], [775.0*GeV, 350.0*GeV]], 0.0403532442817],
[[[775.0*GeV, 400.0*GeV], [775.0*GeV, 400.0*GeV]], 0.0364060452677],
[[[775.0*GeV, 450.0*GeV], [775.0*GeV, 450.0*GeV]], 0.0271499936993],
[[[775.0*GeV, 500.0*GeV], [775.0*GeV, 500.0*GeV]], 0.0163558889158],
[[[775.0*GeV, 525.0*GeV], [775.0*GeV, 525.0*GeV]], 0.0120932255837],
[[[775.0*GeV, 550.0*GeV], [775.0*GeV, 550.0*GeV]], 0.00827458843204],
[[[775.0*GeV, 575.0*GeV], [775.0*GeV, 575.0*GeV]], 0.00531987128364],
[[[775.0*GeV, 600.0*GeV], [775.0*GeV, 600.0*GeV]], 0.00352101878884],
[[[775.0*GeV, 625.0*GeV], [775.0*GeV, 625.0*GeV]], 0.00232915822271],
[[[775.0*GeV, 650.0*GeV], [775.0*GeV, 650.0*GeV]], 0.00121446840589],
[[[775.0*GeV, 675.0*GeV], [775.0*GeV, 675.0*GeV]], 0.00054679121506],
[[[775.0*GeV, 700.0*GeV], [775.0*GeV, 700.0*GeV]], 0.00020814241375],
[[[775.0*GeV, 725.0*GeV], [775.0*GeV, 725.0*GeV]], 3.06800629291e-05],
[[[775.0*GeV, 750.0*GeV], [775.0*GeV, 750.0*GeV]], 1.40877564955e-06],
[[[800.0*GeV, 525.0*GeV], [800.0*GeV, 525.0*GeV]], 0.0176306421249],
[[[800.0*GeV, 550.0*GeV], [800.0*GeV, 550.0*GeV]], 0.0126238742747],
[[[800.0*GeV, 575.0*GeV], [800.0*GeV, 575.0*GeV]], 0.00863451256461],
[[[800.0*GeV, 600.0*GeV], [800.0*GeV, 600.0*GeV]], 0.00610119604228],
[[[800.0*GeV, 625.0*GeV], [800.0*GeV, 625.0*GeV]], 0.0039022870341],
[[[800.0*GeV, 650.0*GeV], [800.0*GeV, 650.0*GeV]], 0.0022186203759],
[[[800.0*GeV, 675.0*GeV], [800.0*GeV, 675.0*GeV]], 0.00115732927437],
[[[800.0*GeV, 700.0*GeV], [800.0*GeV, 700.0*GeV]], 0.000633626043168],
[[[800.0*GeV, 725.0*GeV], [800.0*GeV, 725.0*GeV]], 0.000155111063572],
[[[800.0*GeV, 750.0*GeV], [800.0*GeV, 750.0*GeV]], 2.7705487402e-05],
[[[800.0*GeV, 775.0*GeV], [800.0*GeV, 775.0*GeV]], 5.89370191447e-06],
[[[825.0*GeV, 50.0*GeV], [825.0*GeV, 50.0*GeV]], 0.0170876847989],
[[[825.0*GeV, 100.0*GeV], [825.0*GeV, 100.0*GeV]], 0.0189931802662],
[[[825.0*GeV, 150.0*GeV], [825.0*GeV, 150.0*GeV]], 0.0221392292666],
[[[825.0*GeV, 200.0*GeV], [825.0*GeV, 200.0*GeV]], 0.0268043234064],
[[[825.0*GeV, 250.0*GeV], [825.0*GeV, 250.0*GeV]], 0.0314688362762],
[[[825.0*GeV, 300.0*GeV], [825.0*GeV, 300.0*GeV]], 0.0370550288339],
[[[825.0*GeV, 350.0*GeV], [825.0*GeV, 350.0*GeV]], 0.0415497710505],
[[[825.0*GeV, 400.0*GeV], [825.0*GeV, 400.0*GeV]], 0.0417398451586],
[[[825.0*GeV, 450.0*GeV], [825.0*GeV, 450.0*GeV]], 0.0374138450629],
[[[825.0*GeV, 500.0*GeV], [825.0*GeV, 500.0*GeV]], 0.0278182865754],
[[[825.0*GeV, 525.0*GeV], [825.0*GeV, 525.0*GeV]], 0.0228845486806],
[[[825.0*GeV, 550.0*GeV], [825.0*GeV, 550.0*GeV]], 0.0175931272695],
[[[825.0*GeV, 575.0*GeV], [825.0*GeV, 575.0*GeV]], 0.0127880116959],
[[[825.0*GeV, 600.0*GeV], [825.0*GeV, 600.0*GeV]], 0.00853484559833],
[[[825.0*GeV, 625.0*GeV], [825.0*GeV, 625.0*GeV]], 0.00560891365396],
[[[825.0*GeV, 650.0*GeV], [825.0*GeV, 650.0*GeV]], 0.00367301231803],
[[[825.0*GeV, 675.0*GeV], [825.0*GeV, 675.0*GeV]], 0.00215026857416],
[[[825.0*GeV, 700.0*GeV], [825.0*GeV, 700.0*GeV]], 0.0013712490781],
[[[825.0*GeV, 725.0*GeV], [825.0*GeV, 725.0*GeV]], 0.000531357072223],
[[[825.0*GeV, 750.0*GeV], [825.0*GeV, 750.0*GeV]], 0.000203339824472],
[[[825.0*GeV, 775.0*GeV], [825.0*GeV, 775.0*GeV]], 1.89103329118e-05],
[[[825.0*GeV, 800.0*GeV], [825.0*GeV, 800.0*GeV]], 6.93703389531e-07],
[[[850.0*GeV, 525.0*GeV], [850.0*GeV, 525.0*GeV]], 0.0309832981716],
[[[850.0*GeV, 550.0*GeV], [850.0*GeV, 550.0*GeV]], 0.0227511654499],
[[[850.0*GeV, 575.0*GeV], [850.0*GeV, 575.0*GeV]], 0.0168068322981],
[[[850.0*GeV, 600.0*GeV], [850.0*GeV, 600.0*GeV]], 0.0125035893913],
[[[850.0*GeV, 625.0*GeV], [850.0*GeV, 625.0*GeV]], 0.00856776279279],
[[[850.0*GeV, 650.0*GeV], [850.0*GeV, 650.0*GeV]], 0.00563124751249],
[[[850.0*GeV, 675.0*GeV], [850.0*GeV, 675.0*GeV]], 0.00341228973567],
[[[850.0*GeV, 700.0*GeV], [850.0*GeV, 700.0*GeV]], 0.00216486759475],
[[[850.0*GeV, 725.0*GeV], [850.0*GeV, 725.0*GeV]], 0.00116472107302],
[[[850.0*GeV, 750.0*GeV], [850.0*GeV, 750.0*GeV]], 0.000573417064198],
[[[850.0*GeV, 775.0*GeV], [850.0*GeV, 775.0*GeV]], 0.000201463728628],
[[[850.0*GeV, 800.0*GeV], [850.0*GeV, 800.0*GeV]], 1.94239420779e-05],
[[[850.0*GeV, 825.0*GeV], [850.0*GeV, 825.0*GeV]], 1.41720228016e-06],
[[[875.0*GeV, 50.0*GeV], [875.0*GeV, 50.0*GeV]], 0.0126566389585],
[[[875.0*GeV, 100.0*GeV], [875.0*GeV, 100.0*GeV]], 0.0145045448558],
[[[875.0*GeV, 150.0*GeV], [875.0*GeV, 150.0*GeV]], 0.0167317623991],
[[[875.0*GeV, 200.0*GeV], [875.0*GeV, 200.0*GeV]], 0.0197175607359],
[[[875.0*GeV, 250.0*GeV], [875.0*GeV, 250.0*GeV]], 0.025317335489],
[[[875.0*GeV, 300.0*GeV], [875.0*GeV, 300.0*GeV]], 0.030325575681],
[[[875.0*GeV, 350.0*GeV], [875.0*GeV, 350.0*GeV]], 0.0348601640999],
[[[875.0*GeV, 400.0*GeV], [875.0*GeV, 400.0*GeV]], 0.0399673211227],
[[[875.0*GeV, 450.0*GeV], [875.0*GeV, 450.0*GeV]], 0.0411497044845],
[[[875.0*GeV, 500.0*GeV], [875.0*GeV, 500.0*GeV]], 0.0379481703848],
[[[875.0*GeV, 525.0*GeV], [875.0*GeV, 525.0*GeV]], 0.0344115401157],
[[[875.0*GeV, 550.0*GeV], [875.0*GeV, 550.0*GeV]], 0.029744473774],
[[[875.0*GeV, 575.0*GeV], [875.0*GeV, 575.0*GeV]], 0.0230704729518],
[[[875.0*GeV, 600.0*GeV], [875.0*GeV, 600.0*GeV]], 0.01848120248],
[[[875.0*GeV, 625.0*GeV], [875.0*GeV, 625.0*GeV]], 0.01312918593],
[[[875.0*GeV, 650.0*GeV], [875.0*GeV, 650.0*GeV]], 0.0082294965667],
[[[875.0*GeV, 675.0*GeV], [875.0*GeV, 675.0*GeV]], 0.00553484240889],
[[[875.0*GeV, 700.0*GeV], [875.0*GeV, 700.0*GeV]], 0.00312957820738],
[[[875.0*GeV, 725.0*GeV], [875.0*GeV, 725.0*GeV]], 0.00192784039042],
[[[875.0*GeV, 750.0*GeV], [875.0*GeV, 750.0*GeV]], 0.00128899855984],
[[[875.0*GeV, 775.0*GeV], [875.0*GeV, 775.0*GeV]], 0.000451204455831],
[[[875.0*GeV, 800.0*GeV], [875.0*GeV, 800.0*GeV]], 0.000177952082907],
[[[875.0*GeV, 825.0*GeV], [875.0*GeV, 825.0*GeV]], 2.96623328771e-05],
[[[875.0*GeV, 850.0*GeV], [875.0*GeV, 850.0*GeV]], 2.2233247128e-06],
[[[900.0*GeV, 525.0*GeV], [900.0*GeV, 525.0*GeV]], 0.0392866857302],
[[[900.0*GeV, 550.0*GeV], [900.0*GeV, 550.0*GeV]], 0.0360981835606],
[[[900.0*GeV, 575.0*GeV], [900.0*GeV, 575.0*GeV]], 0.0307593637763],
[[[900.0*GeV, 600.0*GeV], [900.0*GeV, 600.0*GeV]], 0.0237725214417],
[[[900.0*GeV, 625.0*GeV], [900.0*GeV, 625.0*GeV]], 0.0184716198952],
[[[900.0*GeV, 650.0*GeV], [900.0*GeV, 650.0*GeV]], 0.0131688014798],
[[[900.0*GeV, 675.0*GeV], [900.0*GeV, 675.0*GeV]], 0.00894683017648],
[[[900.0*GeV, 700.0*GeV], [900.0*GeV, 700.0*GeV]], 0.00573975436553],
[[[900.0*GeV, 725.0*GeV], [900.0*GeV, 725.0*GeV]], 0.00378201356577],
[[[900.0*GeV, 750.0*GeV], [900.0*GeV, 750.0*GeV]], 0.00204060909258],
[[[900.0*GeV, 775.0*GeV], [900.0*GeV, 775.0*GeV]], 0.00110601701712],
[[[900.0*GeV, 800.0*GeV], [900.0*GeV, 800.0*GeV]], 0.000536285278081],
[[[900.0*GeV, 825.0*GeV], [900.0*GeV, 825.0*GeV]], 0.000155889430386],
[[[900.0*GeV, 850.0*GeV], [900.0*GeV, 850.0*GeV]], 3.0664077467e-05],
[[[900.0*GeV, 875.0*GeV], [900.0*GeV, 875.0*GeV]], 5.24276966886e-07],
[[[925.0*GeV, 50.0*GeV], [925.0*GeV, 50.0*GeV]], 0.00942111463368],
[[[925.0*GeV, 100.0*GeV], [925.0*GeV, 100.0*GeV]], 0.0113893333103],
[[[925.0*GeV, 150.0*GeV], [925.0*GeV, 150.0*GeV]], 0.0120820814754],
[[[925.0*GeV, 200.0*GeV], [925.0*GeV, 200.0*GeV]], 0.0154097056484],
[[[925.0*GeV, 250.0*GeV], [925.0*GeV, 250.0*GeV]], 0.0187949232718],
[[[925.0*GeV, 300.0*GeV], [925.0*GeV, 300.0*GeV]], 0.0231976336888],
[[[925.0*GeV, 350.0*GeV], [925.0*GeV, 350.0*GeV]], 0.0296681929155],
[[[925.0*GeV, 400.0*GeV], [925.0*GeV, 400.0*GeV]], 0.035916319297],
[[[925.0*GeV, 450.0*GeV], [925.0*GeV, 450.0*GeV]], 0.0403803348328],
[[[925.0*GeV, 500.0*GeV], [925.0*GeV, 500.0*GeV]], 0.04121756005],
[[[925.0*GeV, 525.0*GeV], [925.0*GeV, 525.0*GeV]], 0.0426850766358],
[[[925.0*GeV, 550.0*GeV], [925.0*GeV, 550.0*GeV]], 0.0412052676525],
[[[925.0*GeV, 575.0*GeV], [925.0*GeV, 575.0*GeV]], 0.0367878897533],
[[[925.0*GeV, 600.0*GeV], [925.0*GeV, 600.0*GeV]], 0.0312150455664],
[[[925.0*GeV, 625.0*GeV], [925.0*GeV, 625.0*GeV]], 0.025618989864],
[[[925.0*GeV, 650.0*GeV], [925.0*GeV, 650.0*GeV]], 0.0180569258646],
[[[925.0*GeV, 675.0*GeV], [925.0*GeV, 675.0*GeV]], 0.0133661345831],
[[[925.0*GeV, 700.0*GeV], [925.0*GeV, 700.0*GeV]], 0.00823235866093],
[[[925.0*GeV, 725.0*GeV], [925.0*GeV, 725.0*GeV]], 0.00604290474748],
[[[925.0*GeV, 750.0*GeV], [925.0*GeV, 750.0*GeV]], 0.00358026953335],
[[[925.0*GeV, 775.0*GeV], [925.0*GeV, 775.0*GeV]], 0.00213834720468],
[[[925.0*GeV, 800.0*GeV], [925.0*GeV, 800.0*GeV]], 0.00125515178757],
[[[925.0*GeV, 825.0*GeV], [925.0*GeV, 825.0*GeV]], 0.000445688798223],
[[[925.0*GeV, 850.0*GeV], [925.0*GeV, 850.0*GeV]], 0.000123285926184],
[[[925.0*GeV, 875.0*GeV], [925.0*GeV, 875.0*GeV]], 4.1670556103e-05],
[[[925.0*GeV, 900.0*GeV], [925.0*GeV, 900.0*GeV]], 2.42820397346e-06],
[[[950.0*GeV, 525.0*GeV], [950.0*GeV, 525.0*GeV]], 0.0447174582898],
[[[950.0*GeV, 550.0*GeV], [950.0*GeV, 550.0*GeV]], 0.043250866257],
[[[950.0*GeV, 575.0*GeV], [950.0*GeV, 575.0*GeV]], 0.0413767212241],
[[[950.0*GeV, 600.0*GeV], [950.0*GeV, 600.0*GeV]], 0.0365592088914],
[[[950.0*GeV, 625.0*GeV], [950.0*GeV, 625.0*GeV]], 0.0314517040105],
[[[950.0*GeV, 650.0*GeV], [950.0*GeV, 650.0*GeV]], 0.0237880717211],
[[[950.0*GeV, 675.0*GeV], [950.0*GeV, 675.0*GeV]], 0.0184059128702],
