#            mhscp               ctau              width        SR1FULL_600
     5.5000000e+02      1.3155133e+00      1.5000000e-16      5.3197482e-06
     5.5000000e+02      8.9694091e-01      2.2000000e-16      2.3209544e-07
     5.5000000e+02      6.1664687e-01      3.2000000e-16      9.3747354e-09
     5.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.0000000e+02      1.0000000e+99      0.0000000e+00      4.5453867e-02
     6.0000000e+02      3.9465400e+02      5.0000000e-19      4.3492257e-02
     6.0000000e+02      6.1664687e+01      3.2000000e-18      3.4683166e-02
     6.0000000e+02      1.3155133e+01      1.5000000e-17      1.5181237e-02
     6.0000000e+02      6.1664687e+00      3.2000000e-17      5.6474648e-03
     6.0000000e+02      4.2897174e+00      4.6000000e-17      2.6351250e-03
     6.0000000e+02      2.9018676e+00      6.8000000e-17      8.2214989e-04
     6.0000000e+02      1.9732700e+00      1.0000000e-16      1.5839522e-04
     6.0000000e+02      1.3155133e+00      1.5000000e-16      1.3456103e-05
     6.0000000e+02      8.9694091e-01      2.2000000e-16      5.8878461e-07
     6.0000000e+02      6.1664687e-01      3.2000000e-16      2.5519709e-08
     6.0000000e+02      4.2897174e-01      4.6000000e-16      1.8279904e-09
     6.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.0000000e+99      0.0000000e+00      7.1489716e-02
     6.5000000e+02      3.9465400e+02      5.0000000e-19      6.8430442e-02
     6.5000000e+02      6.1664687e+01      3.2000000e-18      5.4686566e-02
     6.5000000e+02      1.3155133e+01      1.5000000e-17      2.4144337e-02
     6.5000000e+02      6.1664687e+00      3.2000000e-17      9.0476631e-03
     6.5000000e+02      4.2897174e+00      4.6000000e-17      4.2340901e-03
     6.5000000e+02      2.9018676e+00      6.8000000e-17      1.3236544e-03
     6.5000000e+02      1.9732700e+00      1.0000000e-16      2.5502605e-04
     6.5000000e+02      1.3155133e+00      1.5000000e-16      2.1500396e-05
     6.5000000e+02      8.9694091e-01      2.2000000e-16      8.7802725e-07
     6.5000000e+02      6.1664687e-01      3.2000000e-16      2.7120446e-08
     6.5000000e+02      4.2897174e-01      4.6000000e-16      1.3738679e-09
     6.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.0000000e+02      1.0000000e+99      0.0000000e+00      8.5175639e-02
     7.0000000e+02      3.9465400e+02      5.0000000e-19      8.1532302e-02
     7.0000000e+02      6.1664687e+01      3.2000000e-18      6.5190392e-02
     7.0000000e+02      1.3155133e+01      1.5000000e-17      2.8939550e-02
     7.0000000e+02      6.1664687e+00      3.2000000e-17      1.0904603e-02
     7.0000000e+02      4.2897174e+00      4.6000000e-17      5.1095650e-03
     7.0000000e+02      2.9018676e+00      6.8000000e-17      1.5958736e-03
     7.0000000e+02      1.9732700e+00      1.0000000e-16      3.0615272e-04
     7.0000000e+02      1.3155133e+00      1.5000000e-16      2.5422084e-05
     7.0000000e+02      8.9694091e-01      2.2000000e-16      9.5567484e-07
     7.0000000e+02      6.1664687e-01      3.2000000e-16      1.9095715e-08
     7.0000000e+02      4.2897174e-01      4.6000000e-16      6.9973406e-10
     7.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.5000000e+02      1.0000000e+99      0.0000000e+00      9.3416184e-02
     7.5000000e+02      3.9465400e+02      5.0000000e-19      8.9451761e-02
