#               mhscp              mrec200 
                 2200 0.045976904134980935 
                 1250  0.47146066562074695 
                  200                  0.0 
                 1050   0.5744096593861907 
                 2000  0.09178598376309942 
                  950   0.6170819625101426 
                 2400 0.028810330373541266 
                 1900  0.12934353095222867 
                  400   0.5285804390819385 
                 1450  0.27355666329093453 
                  600   0.6370986553135003 
                 2600  0.02098995696745598 
                 1150   0.5206964947513499 
                  100                  0.0 
                  300                  0.0 
                 1350  0.37036946478756355 
                  700   0.6557856949309789 
                 1800  0.17666209824363835 
                  850    0.647510729076489 
                  500   0.6015223242195836 
                  900     0.63706681515335 
                 3000 0.005559522545118802 
                  450   0.5631698475591872 
                   50                  0.0 
                 1400   0.3141186104453358 
                 1600  0.22621796917614226 
                  650   0.6539631025690619 
                 1200  0.49629284997002265 
                  250                  0.0 
                 1000   0.5971624626891379 
                  750     0.65696080047856 
                 1700  0.21181374964182162 
                  800   0.6575756260419021 
                 1500  0.24804868864712298 
                 2800 0.012733403566517735 
                  550   0.6154934804574602 
                 1100   0.5510412299900886 
                  150                  0.0 
                 3500 6.13121500005987e-05 
                  350   0.4861045014638438 
                 1300  0.42697199885904685 
