#            mhscp               ctau              width        SR2FULL_350
     1.2000000e+03      2.9018676e+00      6.8000000e-17      2.2284888e-04
     1.2000000e+03      1.9732700e+00      1.0000000e-16      1.9681415e-05
     1.2000000e+03      1.3155133e+00      1.5000000e-16      6.8891168e-07
     1.2000000e+03      8.9694091e-01      2.2000000e-16      1.1262814e-08
     1.2000000e+03      6.1664687e-01      3.2000000e-16      6.5462461e-11
     1.2000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.3000000e+03      1.0000000e+99      0.0000000e+00      1.4117713e-01
     1.3000000e+03      1.9732700e+04      1.0000000e-20      1.4099999e-01
     1.3000000e+03      1.9732700e+02      1.0000000e-18      1.2461507e-01
     1.3000000e+03      6.1664687e+01      3.2000000e-18      9.5191333e-02
     1.3000000e+03      1.3155133e+01      1.5000000e-17      2.4801940e-02
     1.3000000e+03      8.9694091e+00      2.2000000e-17      1.1868254e-02
     1.3000000e+03      6.1664687e+00      3.2000000e-17      4.3836833e-03
     1.3000000e+03      4.2897174e+00      4.6000000e-17      1.1861556e-03
     1.3000000e+03      2.9018676e+00      6.8000000e-17      1.7809149e-04
     1.3000000e+03      1.9732700e+00      1.0000000e-16      1.4756753e-05
     1.3000000e+03      1.3155133e+00      1.5000000e-16      4.8752239e-07
     1.3000000e+03      8.9694091e-01      2.2000000e-16      8.0678099e-09
     1.3000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.4000000e+03      1.0000000e+99      0.0000000e+00      1.2781183e-01
     1.4000000e+03      1.9732700e+04      1.0000000e-20      1.2764935e-01
     1.4000000e+03      1.9732700e+02      1.0000000e-18      1.1263209e-01
     1.4000000e+03      6.1664687e+01      3.2000000e-18      8.5731581e-02
     1.4000000e+03      1.3155133e+01      1.5000000e-17      2.1935403e-02
     1.4000000e+03      8.9694091e+00      2.2000000e-17      1.0389644e-02
     1.4000000e+03      6.1664687e+00      3.2000000e-17      3.7839631e-03
     1.4000000e+03      4.2897174e+00      4.6000000e-17      1.0050870e-03
     1.4000000e+03      2.9018676e+00      6.8000000e-17      1.4694304e-04
     1.4000000e+03      1.9732700e+00      1.0000000e-16      1.1731562e-05
     1.4000000e+03      1.3155133e+00      1.5000000e-16      3.5976376e-07
     1.4000000e+03      8.9694091e-01      2.2000000e-16      5.0659936e-09
     1.4000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.0000000e+99      0.0000000e+00      1.1547054e-01
     1.5000000e+03      1.9732700e+04      1.0000000e-20      1.1532283e-01
     1.5000000e+03      1.9732700e+02      1.0000000e-18      1.0167313e-01
     1.5000000e+03      6.1664687e+01      3.2000000e-18      7.7241017e-02
     1.5000000e+03      1.3155133e+01      1.5000000e-17      1.9497825e-02
     1.5000000e+03      8.9694091e+00      2.2000000e-17      9.1378064e-03
     1.5000000e+03      6.1664687e+00      3.2000000e-17      3.2679110e-03
     1.5000000e+03      4.2897174e+00      4.6000000e-17      8.4155783e-04
     1.5000000e+03      2.9018676e+00      6.8000000e-17      1.1599577e-04
     1.5000000e+03      1.9732700e+00      1.0000000e-16      8.3742727e-06
     1.5000000e+03      1.3155133e+00      1.5000000e-16      2.1544133e-07
     1.5000000e+03      8.9694091e-01      2.2000000e-16      2.3264423e-09
     1.5000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.6000000e+03      1.0000000e+99      0.0000000e+00      1.0279539e-01
     1.6000000e+03      1.9732700e+04      1.0000000e-20      1.0266213e-01
     1.6000000e+03      1.9732700e+02      1.0000000e-18      9.0360464e-02
     1.6000000e+03      6.1664687e+01      3.2000000e-18      6.8407536e-02
     1.6000000e+03      1.3155133e+01      1.5000000e-17      1.6999221e-02
     1.6000000e+03      8.9694091e+00      2.2000000e-17      7.9001342e-03
     1.6000000e+03      6.1664687e+00      3.2000000e-17      2.7903452e-03
     1.6000000e+03      4.2897174e+00      4.6000000e-17      7.0459646e-04
     1.6000000e+03      2.9018676e+00      6.8000000e-17      9.3580374e-05
     1.6000000e+03      1.9732700e+00      1.0000000e-16      6.3341337e-06
     1.6000000e+03      1.3155133e+00      1.5000000e-16      1.4745779e-07
     1.6000000e+03      8.9694091e-01      2.2000000e-16      1.4932886e-09
     1.6000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.7000000e+03      1.0000000e+99      0.0000000e+00      8.9572638e-02
