#            mhscp               ctau              width        SR2FULL_350
     4.0000000e+02      4.2897174e+00      4.6000000e-17      2.7811762e-03
     4.0000000e+02      2.9018676e+00      6.8000000e-17      6.0944869e-04
     4.0000000e+02      1.9732700e+00      1.0000000e-16      8.7261684e-05
     4.0000000e+02      1.3155133e+00      1.5000000e-16      6.5914733e-06
     4.0000000e+02      8.9694091e-01      2.2000000e-16      3.4976868e-07
     4.0000000e+02      6.1664687e-01      3.2000000e-16      1.2944458e-08
     4.0000000e+02      4.2897174e-01      4.6000000e-16      2.8248047e-10
     4.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.2500000e+02      1.0000000e+99      0.0000000e+00      1.7383939e-01
     4.2500000e+02      3.9465400e+02      5.0000000e-19      1.6484094e-01
     4.2500000e+02      6.1664687e+01      3.2000000e-18      1.2436653e-01
     4.2500000e+02      1.3155133e+01      1.5000000e-17      3.9675500e-02
     4.2500000e+02      8.9694091e+00      2.2000000e-17      2.1293773e-02
     4.2500000e+02      6.1664687e+00      3.2000000e-17      9.2600628e-03
     4.2500000e+02      4.2897174e+00      4.6000000e-17      3.1598702e-03
     4.2500000e+02      2.9018676e+00      6.8000000e-17      6.8856596e-04
     4.2500000e+02      1.9732700e+00      1.0000000e-16      9.7946473e-05
     4.2500000e+02      1.3155133e+00      1.5000000e-16      7.2560111e-06
     4.2500000e+02      8.9694091e-01      2.2000000e-16      3.7540493e-07
     4.2500000e+02      6.1664687e-01      3.2000000e-16      1.4398464e-08
     4.2500000e+02      4.2897174e-01      4.6000000e-16      3.3872306e-10
     4.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.5000000e+02      1.0000000e+99      0.0000000e+00      1.8568092e-01
     4.5000000e+02      3.9465400e+02      5.0000000e-19      1.7600423e-01
     4.5000000e+02      6.1664687e+01      3.2000000e-18      1.3252173e-01
     4.5000000e+02      1.3155133e+01      1.5000000e-17      4.1900367e-02
     4.5000000e+02      8.9694091e+00      2.2000000e-17      2.2368531e-02
     4.5000000e+02      6.1664687e+00      3.2000000e-17      9.6544868e-03
     4.5000000e+02      4.2897174e+00      4.6000000e-17      3.2601581e-03
     4.5000000e+02      2.9018676e+00      6.8000000e-17      6.9886794e-04
     4.5000000e+02      1.9732700e+00      1.0000000e-16      9.7270136e-05
     4.5000000e+02      1.3155133e+00      1.5000000e-16      7.0836250e-06
     4.5000000e+02      8.9694091e-01      2.2000000e-16      3.7820893e-07
     4.5000000e+02      6.1664687e-01      3.2000000e-16      1.6652945e-08
     4.5000000e+02      4.2897174e-01      4.6000000e-16      5.3317440e-10
     4.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.7500000e+02      1.0000000e+99      0.0000000e+00      1.9495991e-01
     4.7500000e+02      3.9465400e+02      5.0000000e-19      1.8473006e-01
     4.7500000e+02      6.1664687e+01      3.2000000e-18      1.3881783e-01
     4.7500000e+02      1.3155133e+01      1.5000000e-17      4.3564544e-02
     4.7500000e+02      8.9694091e+00      2.2000000e-17      2.3170536e-02
     4.7500000e+02      6.1664687e+00      3.2000000e-17      9.9534251e-03
     4.7500000e+02      4.2897174e+00      4.6000000e-17      3.3407743e-03
     4.7500000e+02      2.9018676e+00      6.8000000e-17      7.0885512e-04
     4.7500000e+02      1.9732700e+00      1.0000000e-16      9.6357843e-05
     4.7500000e+02      1.3155133e+00      1.5000000e-16      6.4398084e-06
     4.7500000e+02      8.9694091e-01      2.2000000e-16      2.6216332e-07
     4.7500000e+02      6.1664687e-01      3.2000000e-16      6.7158765e-09
     4.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+02      1.0000000e+99      0.0000000e+00      1.9609679e-01
     5.0000000e+02      3.9465400e+02      5.0000000e-19      1.8573324e-01
     5.0000000e+02      6.1664687e+01      3.2000000e-18      1.3927470e-01
     5.0000000e+02      1.3155133e+01      1.5000000e-17      4.3313076e-02
     5.0000000e+02      8.9694091e+00      2.2000000e-17      2.2915689e-02
     5.0000000e+02      6.1664687e+00      3.2000000e-17      9.7721311e-03
     5.0000000e+02      4.2897174e+00      4.6000000e-17      3.2484002e-03
     5.0000000e+02      2.9018676e+00      6.8000000e-17      6.7996438e-04
     5.0000000e+02      1.9732700e+00      1.0000000e-16      9.0854908e-05
     5.0000000e+02      1.3155133e+00      1.5000000e-16      5.9140714e-06
     5.0000000e+02      8.9694091e-01      2.2000000e-16      2.2888973e-07
     5.0000000e+02      6.1664687e-01      3.2000000e-16      5.1446524e-09
     5.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.5000000e+02      1.0000000e+99      0.0000000e+00      2.0155722e-01
     5.5000000e+02      3.9465400e+02      5.0000000e-19      1.9084952e-01
     5.5000000e+02      6.1664687e+01      3.2000000e-18      1.4288586e-01
     5.5000000e+02      1.3155133e+01      1.5000000e-17      4.4124749e-02
     5.5000000e+02      8.9694091e+00      2.2000000e-17      2.3240682e-02
     5.5000000e+02      6.1664687e+00      3.2000000e-17      9.8399269e-03
     5.5000000e+02      4.2897174e+00      4.6000000e-17      3.2323562e-03
     5.5000000e+02      2.9018676e+00      6.8000000e-17      6.6160700e-04
     5.5000000e+02      1.9732700e+00      1.0000000e-16      8.5222296e-05
     5.5000000e+02      1.3155133e+00      1.5000000e-16      5.2424378e-06
     5.5000000e+02      8.9694091e-01      2.2000000e-16      1.8999328e-07
     5.5000000e+02      6.1664687e-01      3.2000000e-16      4.3144712e-09
     5.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.0000000e+02      1.0000000e+99      0.0000000e+00      2.0486601e-01
     6.0000000e+02      3.9465400e+02      5.0000000e-19      1.9383254e-01
     6.0000000e+02      6.1664687e+01      3.2000000e-18      1.4453535e-01
     6.0000000e+02      1.3155133e+01      1.5000000e-17      4.3959358e-02
     6.0000000e+02      8.9694091e+00      2.2000000e-17      2.2977045e-02
     6.0000000e+02      6.1664687e+00      3.2000000e-17      9.6346732e-03
     6.0000000e+02      4.2897174e+00      4.6000000e-17      3.1283106e-03
     6.0000000e+02      2.9018676e+00      6.8000000e-17      6.3099353e-04
     6.0000000e+02      1.9732700e+00      1.0000000e-16      8.0193142e-05
     6.0000000e+02      1.3155133e+00      1.5000000e-16      4.9277640e-06
     6.0000000e+02      8.9694091e-01      2.2000000e-16      1.8238863e-07
     6.0000000e+02      6.1664687e-01      3.2000000e-16      4.0670814e-09
     6.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.0000000e+99      0.0000000e+00      2.0694494e-01
     6.5000000e+02      3.9465400e+02      5.0000000e-19      1.9571519e-01
     6.5000000e+02      6.1664687e+01      3.2000000e-18      1.4559011e-01
     6.5000000e+02      1.3155133e+01      1.5000000e-17      4.3766803e-02
     6.5000000e+02      8.9694091e+00      2.2000000e-17      2.2703330e-02
     6.5000000e+02      6.1664687e+00      3.2000000e-17      9.4130067e-03
     6.5000000e+02      4.2897174e+00      4.6000000e-17      3.0079466e-03
     6.5000000e+02      2.9018676e+00      6.8000000e-17      5.9235242e-04
     6.5000000e+02      1.9732700e+00      1.0000000e-16      7.2907256e-05
     6.5000000e+02      1.3155133e+00      1.5000000e-16      4.2354944e-06
     6.5000000e+02      8.9694091e-01      2.2000000e-16      1.3597195e-07
     6.5000000e+02      6.1664687e-01      3.2000000e-16      1.9505203e-09
     6.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.0000000e+02      1.0000000e+99      0.0000000e+00      2.0929973e-01
     7.0000000e+02      3.9465400e+02      5.0000000e-19      1.9784912e-01
     7.0000000e+02      6.1664687e+01      3.2000000e-18      1.4682059e-01
     7.0000000e+02      1.3155133e+01      1.5000000e-17      4.3743610e-02
     7.0000000e+02      8.9694091e+00      2.2000000e-17      2.2586701e-02
     7.0000000e+02      6.1664687e+00      3.2000000e-17      9.3038630e-03
     7.0000000e+02      4.2897174e+00      4.6000000e-17      2.9438359e-03
     7.0000000e+02      2.9018676e+00      6.8000000e-17      5.6900815e-04
     7.0000000e+02      1.9732700e+00      1.0000000e-16      6.7641926e-05
     7.0000000e+02      1.3155133e+00      1.5000000e-16      3.6626209e-06
     7.0000000e+02      8.9694091e-01      2.2000000e-16      1.0406686e-07
     7.0000000e+02      6.1664687e-01      3.2000000e-16      1.2315364e-09
     7.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.5000000e+02      1.0000000e+99      0.0000000e+00      2.0638315e-01
     7.5000000e+02      1.9732700e+04      1.0000000e-20      2.0614755e-01
     7.5000000e+02      1.9732700e+02      1.0000000e-18      1.8422593e-01
     7.5000000e+02      6.1664687e+01      3.2000000e-18      1.4413806e-01
     7.5000000e+02      1.3155133e+01      1.5000000e-17      4.2239557e-02
     7.5000000e+02      8.9694091e+00      2.2000000e-17      2.1593636e-02
     7.5000000e+02      6.1664687e+00      3.2000000e-17      8.7695784e-03
     7.5000000e+02      4.2897174e+00      4.6000000e-17      2.7219916e-03
     7.5000000e+02      2.9018676e+00      6.8000000e-17      5.1174000e-04
     7.5000000e+02      1.9732700e+00      1.0000000e-16      5.8795874e-05
     7.5000000e+02      1.3155133e+00      1.5000000e-16      3.0590921e-06
     7.5000000e+02      8.9694091e-01      2.2000000e-16      8.4339341e-08
     7.5000000e+02      6.1664687e-01      3.2000000e-16      1.0792395e-09
     7.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     8.0000000e+02      1.0000000e+99      0.0000000e+00      2.0296661e-01
     8.0000000e+02      1.9732700e+04      1.0000000e-20      2.0273229e-01
     8.0000000e+02      1.9732700e+02      1.0000000e-18      1.8094711e-01
     8.0000000e+02      6.1664687e+01      3.2000000e-18      1.4120041e-01
     8.0000000e+02      1.3155133e+01      1.5000000e-17      4.0900408e-02
     8.0000000e+02      8.9694091e+00      2.2000000e-17      2.0788020e-02
     8.0000000e+02      6.1664687e+00      3.2000000e-17      8.3759744e-03
     8.0000000e+02      4.2897174e+00      4.6000000e-17      2.5709129e-03
     8.0000000e+02      2.9018676e+00      6.8000000e-17      4.7459880e-04
     8.0000000e+02      1.9732700e+00      1.0000000e-16      5.3196706e-05
     8.0000000e+02      1.3155133e+00      1.5000000e-16      2.7211915e-06
     8.0000000e+02      8.9694091e-01      2.2000000e-16      8.0763698e-08
     8.0000000e+02      6.1664687e-01      3.2000000e-16      1.4305690e-09
     8.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
