#            mhscp              mprod               ctau              width        SR1FULL_825
     6.5000000e+02      1.5000000e+03      1.9732700e+06      1.0000000e-22      6.2563817e-04
     6.5000000e+02      1.5000000e+03      1.0000000e+99      0.0000000e+00      6.2564307e-04
     3.5000000e+03      3.7000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      1.5000000e+03      1.9732700e+02      1.0000000e-18      5.7913394e-04
     3.5000000e+03      3.8000000e+03      3.9465400e+02      5.0000000e-19      1.9789015e-04
     3.5000000e+03      3.8000000e+03      6.1664687e+01      3.2000000e-18      1.7339646e-04
     6.5000000e+02      1.5000000e+03      3.5236964e+01      5.6000000e-18      4.1540785e-04
     3.5000000e+03      3.8000000e+03      1.9732700e+01      1.0000000e-17      1.2401288e-04
     6.5000000e+02      1.5000000e+03      6.1664687e+00      3.2000000e-17      8.6738787e-05
     6.5000000e+02      1.5000000e+03      4.2897174e+00      4.6000000e-17      4.0872749e-05
     6.5000000e+02      1.5000000e+03      2.9018676e+00      6.8000000e-17      1.2950144e-05
     6.5000000e+02      1.5000000e+03      1.9732700e+00      1.0000000e-16      2.5519194e-06
     6.5000000e+02      1.5000000e+03      1.3155133e+00      1.5000000e-16      2.2362290e-07
     6.5000000e+02      1.5000000e+03      8.9694091e-01      2.2000000e-16      9.9873216e-09
     3.5000000e+03      3.8000000e+03      8.9694091e-01      2.2000000e-16      5.6505373e-10
     3.5000000e+03      3.8000000e+03      1.3155133e+00      1.5000000e-16      3.1758402e-08
     3.5000000e+03      3.8000000e+03      1.9732700e+00      1.0000000e-16      6.0221211e-07
     3.5000000e+03      3.8000000e+03      2.9018676e+00      6.8000000e-17      4.0957331e-06
     3.5000000e+03      3.8000000e+03      4.2897174e+00      4.6000000e-17      1.5465261e-05
     5.0000000e+01      1.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      1.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      1.5000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      2.0000000e+03      1.9732700e+06      1.0000000e-22      5.4342473e-04
     6.5000000e+02      2.0000000e+03      1.0000000e+99      0.0000000e+00      5.4342858e-04
     3.5000000e+03      3.8000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      2.0000000e+03      1.9732700e+02      1.0000000e-18      5.0663471e-04
     3.5000000e+03      3.9000000e+03      3.9465400e+02      5.0000000e-19      1.6742356e-04
     3.5000000e+03      3.9000000e+03      6.1664687e+01      3.2000000e-18      1.4247419e-04
     6.5000000e+02      2.0000000e+03      3.5236964e+01      5.6000000e-18      3.7329618e-04
     3.5000000e+03      3.9000000e+03      1.9732700e+01      1.0000000e-17      9.7506045e-05
     6.5000000e+02      2.0000000e+03      6.1664687e+00      3.2000000e-17      8.4176716e-05
     6.5000000e+02      2.0000000e+03      4.2897174e+00      4.6000000e-17      4.0756817e-05
     6.5000000e+02      2.0000000e+03      2.9018676e+00      6.8000000e-17      1.3426873e-05
     6.5000000e+02      2.0000000e+03      1.9732700e+00      1.0000000e-16      2.7998732e-06
     6.5000000e+02      2.0000000e+03      1.3155133e+00      1.5000000e-16      2.7647608e-07
     6.5000000e+02      2.0000000e+03      8.9694091e-01      2.2000000e-16      1.7803494e-08
     6.5000000e+02      2.0000000e+03      6.1664687e-01      3.2000000e-16      1.4035251e-09
     3.5000000e+03      3.9000000e+03      8.9694091e-01      2.2000000e-16      2.8960138e-10
     3.5000000e+03      3.9000000e+03      1.3155133e+00      1.5000000e-16      1.8905202e-08
     3.5000000e+03      3.9000000e+03      1.9732700e+00      1.0000000e-16      3.9190343e-07
     3.5000000e+03      3.9000000e+03      2.9018676e+00      6.8000000e-17      2.8035579e-06
     5.0000000e+01      1.5000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      2.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      2.5000000e+03      1.9732700e+06      1.0000000e-22      3.3966028e-04
     6.5000000e+02      2.5000000e+03      1.0000000e+99      0.0000000e+00      3.3966255e-04
     3.5000000e+03      3.9000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      2.5000000e+03      1.9732700e+02      1.0000000e-18      3.1791899e-04
     3.5000000e+03      4.0000000e+03      1.9732700e+03      1.0000000e-19      1.5329181e-04
     3.5000000e+03      4.0000000e+03      6.1664687e+01      3.2000000e-18      1.3162192e-04
     6.5000000e+02      2.5000000e+03      3.5236964e+01      5.6000000e-18      2.3741604e-04
     3.5000000e+03      4.0000000e+03      1.9732700e+01      1.0000000e-17      9.5478582e-05
     6.5000000e+02      2.5000000e+03      6.1664687e+00      3.2000000e-17      5.4874590e-05
     6.5000000e+02      2.5000000e+03      4.2897174e+00      4.6000000e-17      2.6911541e-05
     6.5000000e+02      2.5000000e+03      2.9018676e+00      6.8000000e-17      9.1549393e-06
     6.5000000e+02      2.5000000e+03      1.9732700e+00      1.0000000e-16      2.0676200e-06
     6.5000000e+02      2.5000000e+03      1.3155133e+00      1.5000000e-16      2.6404049e-07
     6.5000000e+02      2.5000000e+03      8.9694091e-01      2.2000000e-16      3.2126909e-08
     6.5000000e+02      2.5000000e+03      6.1664687e-01      3.2000000e-16      4.2765768e-09
     3.5000000e+03      4.0000000e+03      8.9694091e-01      2.2000000e-16      7.4862365e-10
     3.5000000e+03      4.0000000e+03      1.3155133e+00      1.5000000e-16      3.1053862e-08
     3.5000000e+03      4.0000000e+03      1.9732700e+00      1.0000000e-16      5.0955565e-07
     3.5000000e+03      4.0000000e+03      2.9018676e+00      6.8000000e-17      3.2774530e-06
     5.0000000e+01      2.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      2.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      2.5000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      3.0000000e+03      1.0000000e+99      0.0000000e+00      1.5529936e-04
     3.5000000e+03      4.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.5000000e+03      4.2500000e+03      3.9465400e+02      5.0000000e-19      1.1497429e-04
     6.5000000e+02      3.0000000e+03      1.9732700e+02      1.0000000e-18      1.4624978e-04
     3.5000000e+03      4.2500000e+03      1.0000000e+99      0.0000000e+00      1.2023847e-04
     3.5000000e+03      4.2500000e+03      6.1664687e+01      3.2000000e-18      9.5756220e-05
     6.5000000e+02      3.0000000e+03      3.5236964e+01      5.6000000e-18      1.1182680e-04
     3.5000000e+03      4.2500000e+03      1.9732700e+01      1.0000000e-17      6.7547340e-05
     6.5000000e+02      3.0000000e+03      6.1664687e+00      3.2000000e-17      2.7951739e-05
     6.5000000e+02      3.0000000e+03      4.2897174e+00      4.6000000e-17      1.4271354e-05
     6.5000000e+02      3.0000000e+03      2.9018676e+00      6.8000000e-17      5.2986749e-06
     6.5000000e+02      3.0000000e+03      1.9732700e+00      1.0000000e-16      1.4649329e-06
     6.5000000e+02      3.0000000e+03      1.3155133e+00      1.5000000e-16      3.0094902e-07
     6.5000000e+02      3.0000000e+03      8.9694091e-01      2.2000000e-16      6.3205316e-08
     6.5000000e+02      3.0000000e+03      6.1664687e-01      3.2000000e-16      1.0656609e-08
     6.5000000e+02      3.0000000e+03      4.2897174e-01      4.6000000e-16      1.1085279e-09
     3.5000000e+03      4.2500000e+03      8.9694091e-01      2.2000000e-16      2.4621844e-10
     3.5000000e+03      4.2500000e+03      1.3155133e+00      1.5000000e-16      1.5359907e-08
     3.5000000e+03      4.2500000e+03      1.9732700e+00      1.0000000e-16      3.0894798e-07
     3.5000000e+03      4.2500000e+03      2.9018676e+00      6.8000000e-17      2.1625352e-06
     5.0000000e+01      2.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      2.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      3.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      4.0000000e+03      1.9732700e+06      1.0000000e-22      1.4929399e-05
     6.5000000e+02      4.0000000e+03      1.0000000e+99      0.0000000e+00      1.4929459e-05
     3.5000000e+03      4.2500000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.5000000e+03      4.5000000e+03      1.9732700e+03      1.0000000e-19      1.1761651e-04
     6.5000000e+02      4.0000000e+03      1.0962611e+02      1.8000000e-18      1.3893634e-05
     3.5000000e+03      4.5000000e+03      1.0962611e+02      1.8000000e-18      9.9940478e-05
     3.5000000e+03      4.5000000e+03      1.0000000e+99      0.0000000e+00      1.1900773e-04
     6.5000000e+02      4.0000000e+03      1.9732700e+01      1.0000000e-17      1.0345245e-05
     3.5000000e+03      4.5000000e+03      1.9732700e+01      1.0000000e-17      6.2404038e-05
     3.5000000e+03      4.5000000e+03      6.1664687e+00      3.2000000e-17      1.7233149e-05
     3.5000000e+03      4.5000000e+03      4.2897174e+00      4.6000000e-17      7.1831281e-06
     6.5000000e+02      4.0000000e+03      2.9018676e+00      6.8000000e-17      2.4728501e-06
     6.5000000e+02      4.0000000e+03      1.9732700e+00      1.0000000e-16      1.3280497e-06
     6.5000000e+02      4.0000000e+03      1.3155133e+00      1.5000000e-16      5.3863829e-07
     6.5000000e+02      4.0000000e+03      8.9694091e-01      2.2000000e-16      1.6259325e-07
     6.5000000e+02      4.0000000e+03      6.1664687e-01      3.2000000e-16      3.1833053e-08
     6.5000000e+02      4.0000000e+03      4.2897174e-01      4.6000000e-16      3.6856792e-09
     3.5000000e+03      4.5000000e+03      8.9694091e-01      2.2000000e-16      1.4745695e-10
     3.5000000e+03      4.5000000e+03      1.3155133e+00      1.5000000e-16      1.0729166e-08
     3.5000000e+03      4.5000000e+03      1.9732700e+00      1.0000000e-16      2.4031351e-07
     3.5000000e+03      4.5000000e+03      2.9018676e+00      6.8000000e-17      1.7945987e-06
     3.5000000e+03      3.5600000e+03      6.1664687e+00      3.2000000e-17      7.5597984e-05
     5.0000000e+01      2.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      2.5000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      4.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      5.0000000e+03      1.0000000e+99      0.0000000e+00      1.2168516e-05
     6.5000000e+02      5.0000000e+03      1.9732700e+03      1.0000000e-19      1.2141647e-05
     3.5000000e+03      4.5000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.5000000e+03      5.0000000e+03      3.9465400e+02      5.0000000e-19      1.1999956e-04
     3.5000000e+03      5.0000000e+03      1.9732700e+04      1.0000000e-20      1.3060033e-04
     3.5000000e+03      5.0000000e+03      6.1664687e+01      3.2000000e-18      8.4817085e-05
     6.5000000e+02      5.0000000e+03      3.5236964e+01      5.6000000e-18      1.0820971e-05
     3.5000000e+03      5.0000000e+03      1.0000000e+99      0.0000000e+00      1.3083783e-04
     6.5000000e+02      5.0000000e+03      8.9694091e+00      2.2000000e-17      7.9857942e-06
     3.5000000e+03      5.0000000e+03      6.1664687e+00      3.2000000e-17      1.3445757e-05
     3.5000000e+03      5.0000000e+03      4.2897174e+00      4.6000000e-17      5.6825091e-06
     3.5000000e+03      5.0000000e+03      2.9018676e+00      6.8000000e-17      1.4704306e-06
     6.5000000e+02      5.0000000e+03      1.9732700e+00      1.0000000e-16      2.1486425e-06
     6.5000000e+02      5.0000000e+03      1.3155133e+00      1.5000000e-16      9.4445589e-07
     6.5000000e+02      5.0000000e+03      8.9694091e-01      2.2000000e-16      3.0561500e-07
     6.5000000e+02      5.0000000e+03      6.1664687e-01      3.2000000e-16      6.4082800e-08
     6.5000000e+02      5.0000000e+03      4.2897174e-01      4.6000000e-16      7.8843787e-09
     3.5000000e+03      5.0000000e+03      8.9694091e-01      2.2000000e-16      1.6008358e-10
     3.5000000e+03      5.0000000e+03      1.3155133e+00      1.5000000e-16      1.0231738e-08
     3.5000000e+03      5.0000000e+03      1.9732700e+00      1.0000000e-16      2.0871608e-07
     5.0000000e+01      2.5000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      3.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      5.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.5500000e+02      1.0000000e+99      0.0000000e+00      4.2152541e-04
     3.5000000e+03      5.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.5500000e+02      3.9465400e+02      5.0000000e-19      3.9668044e-04
     4.0000000e+03      4.0050000e+03      1.9732700e+02      1.0000000e-18      1.4442161e-05
     4.0000000e+03      4.0050000e+03      1.9732700e+04      1.0000000e-20      1.5986867e-05
     6.5000000e+02      6.5500000e+02      6.1664687e+01      3.2000000e-18      2.9100918e-04
     4.0000000e+03      4.0050000e+03      3.5236964e+01      5.6000000e-18      1.0047128e-05
     6.5000000e+02      6.5500000e+02      1.9732700e+01      1.0000000e-17      1.4969656e-04
     6.5000000e+02      6.5500000e+02      8.9694091e+00      2.2000000e-17      5.9897804e-05
     6.5000000e+02      6.5500000e+02      6.1664687e+00      3.2000000e-17      3.1530998e-05
     6.5000000e+02      6.5500000e+02      4.2897174e+00      4.6000000e-17      1.3835009e-05
     6.5000000e+02      6.5500000e+02      2.9018676e+00      6.8000000e-17      4.0808518e-06
     6.5000000e+02      6.5500000e+02      1.9732700e+00      1.0000000e-16      7.4600557e-07
     6.5000000e+02      6.5500000e+02      1.3155133e+00      1.5000000e-16      5.9060493e-08
     6.5000000e+02      6.5500000e+02      8.9694091e-01      2.2000000e-16      2.1707491e-09
     4.0000000e+03      4.0050000e+03      1.3155133e+00      1.5000000e-16      1.5289193e-09
     4.0000000e+03      4.0050000e+03      1.9732700e+00      1.0000000e-16      3.0778541e-08
     4.0000000e+03      4.0050000e+03      2.9018676e+00      6.8000000e-17      2.1489029e-07
     4.0000000e+03      4.0050000e+03      4.2897174e+00      4.6000000e-17      8.2554352e-07
     5.0000000e+01      3.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      3.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      6.5500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.6000000e+02      1.0000000e+99      0.0000000e+00      4.2851219e-04
     4.0000000e+03      4.0050000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.6000000e+02      3.9465400e+02      5.0000000e-19      4.0330176e-04
     4.0000000e+03      4.0100000e+03      1.9732700e+02      1.0000000e-18      1.6044461e-05
     4.0000000e+03      4.0100000e+03      1.9732700e+04      1.0000000e-20      1.7811614e-05
     6.5000000e+02      6.6000000e+02      6.1664687e+01      3.2000000e-18      2.9589598e-04
     4.0000000e+03      4.0100000e+03      3.5236964e+01      5.6000000e-18      1.0888739e-05
     6.5000000e+02      6.6000000e+02      1.9732700e+01      1.0000000e-17      1.5179635e-04
     6.5000000e+02      6.6000000e+02      8.9694091e+00      2.2000000e-17      6.0280452e-05
     6.5000000e+02      6.6000000e+02      6.1664687e+00      3.2000000e-17      3.1604661e-05
     6.5000000e+02      6.6000000e+02      4.2897174e+00      4.6000000e-17      1.3840446e-05
     6.5000000e+02      6.6000000e+02      2.9018676e+00      6.8000000e-17      4.0860790e-06
     6.5000000e+02      6.6000000e+02      1.9732700e+00      1.0000000e-16      7.4876080e-07
     6.5000000e+02      6.6000000e+02      1.3155133e+00      1.5000000e-16      5.9154572e-08
     6.5000000e+02      6.6000000e+02      8.9694091e-01      2.2000000e-16      2.1094148e-09
     4.0000000e+03      4.0100000e+03      1.3155133e+00      1.5000000e-16      8.0850565e-10
     4.0000000e+03      4.0100000e+03      1.9732700e+00      1.0000000e-16      2.0247363e-08
     4.0000000e+03      4.0100000e+03      2.9018676e+00      6.8000000e-17      1.6254529e-07
     4.0000000e+03      4.0100000e+03      4.2897174e+00      4.6000000e-17      6.9173476e-07
     5.0000000e+01      3.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     5.0000000e+01      4.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      6.6000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.7000000e+02      1.0000000e+99      0.0000000e+00      4.2452852e-04
     4.0000000e+03      4.0100000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.7000000e+02      3.9465400e+02      5.0000000e-19      3.9981076e-04
     4.0000000e+03      4.0200000e+03      1.9732700e+02      1.0000000e-18      1.5084947e-05
     4.0000000e+03      4.0200000e+03      1.9732700e+04      1.0000000e-20      1.6640534e-05
     6.5000000e+02      6.7000000e+02      6.1664687e+01      3.2000000e-18      2.9448996e-04
     4.0000000e+03      4.0200000e+03      3.5236964e+01      5.6000000e-18      1.0470313e-05
     6.5000000e+02      6.7000000e+02      1.9732700e+01      1.0000000e-17      1.5281855e-04
     6.5000000e+02      6.7000000e+02      8.9694091e+00      2.2000000e-17      6.1706979e-05
     6.5000000e+02      6.7000000e+02      6.1664687e+00      3.2000000e-17      3.2601781e-05
     6.5000000e+02      6.7000000e+02      4.2897174e+00      4.6000000e-17      1.4347207e-05
     6.5000000e+02      6.7000000e+02      2.9018676e+00      6.8000000e-17      4.2453922e-06
     6.5000000e+02      6.7000000e+02      1.9732700e+00      1.0000000e-16      7.7800838e-07
     6.5000000e+02      6.7000000e+02      1.3155133e+00      1.5000000e-16      6.1262808e-08
     6.5000000e+02      6.7000000e+02      8.9694091e-01      2.2000000e-16      2.1192965e-09
     4.0000000e+03      4.0200000e+03      1.3155133e+00      1.5000000e-16      7.5292993e-10
     4.0000000e+03      4.0200000e+03      1.9732700e+00      1.0000000e-16      1.9222580e-08
     4.0000000e+03      4.0200000e+03      2.9018676e+00      6.8000000e-17      1.5708798e-07
     4.0000000e+03      4.0200000e+03      4.2897174e+00      4.6000000e-17      6.7795635e-07
     5.0000000e+01      4.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.8000000e+02      1.0000000e+99      0.0000000e+00      4.2340428e-04
     5.0000000e+01      4.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      6.7000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.0000000e+03      4.0200000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      6.8000000e+02      3.9465400e+02      5.0000000e-19      3.9858518e-04
     4.0000000e+03      4.0300000e+03      1.9732700e+02      1.0000000e-18      1.5506519e-05
     4.0000000e+03      4.0300000e+03      1.9732700e+04      1.0000000e-20      1.7270845e-05
     6.5000000e+02      6.8000000e+02      6.1664687e+01      3.2000000e-18      2.9288078e-04
     4.0000000e+03      4.0300000e+03      3.5236964e+01      5.6000000e-18      1.0511382e-05
     6.5000000e+02      6.8000000e+02      1.9732700e+01      1.0000000e-17      1.5102109e-04
     6.5000000e+02      6.8000000e+02      8.9694091e+00      2.2000000e-17      6.0456967e-05
     6.5000000e+02      6.8000000e+02      6.1664687e+00      3.2000000e-17      3.1809808e-05
     6.5000000e+02      6.8000000e+02      4.2897174e+00      4.6000000e-17      1.3956307e-05
     6.5000000e+02      6.8000000e+02      2.9018676e+00      6.8000000e-17      4.1218267e-06
     6.5000000e+02      6.8000000e+02      1.9732700e+00      1.0000000e-16      7.5507546e-07
     6.5000000e+02      6.8000000e+02      1.3155133e+00      1.5000000e-16      5.9563229e-08
     6.5000000e+02      6.8000000e+02      8.9694091e-01      2.2000000e-16      2.0547714e-09
     4.0000000e+03      4.0300000e+03      1.3155133e+00      1.5000000e-16      3.3147739e-10
     4.0000000e+03      4.0300000e+03      1.9732700e+00      1.0000000e-16      1.1794080e-08
     4.0000000e+03      4.0300000e+03      2.9018676e+00      6.8000000e-17      1.1800757e-07
     4.0000000e+03      4.0300000e+03      4.2897174e+00      4.6000000e-17      5.8139611e-07
     3.5000000e+03      3.5800000e+03      6.1664687e+00      3.2000000e-17      7.3230847e-05
     5.0000000e+01      4.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      7.0000000e+02      1.0000000e+99      0.0000000e+00      4.0803464e-04
     5.0000000e+01      5.0000000e+03      1.0000000e+99      0.0000000e+00      0.0000000e+00
     6.5000000e+02      6.8000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.0000000e+03      4.0300000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     6.5000000e+02      7.0000000e+02      3.9465400e+02      5.0000000e-19      3.8423276e-04
     4.0000000e+03      4.0400000e+03      1.9732700e+02      1.0000000e-18      1.4854860e-05
     4.0000000e+03      4.0400000e+03      1.9732700e+04      1.0000000e-20      1.6438948e-05
     6.5000000e+02      7.0000000e+02      6.1664687e+01      3.2000000e-18      2.8294389e-04
     4.0000000e+03      4.0400000e+03      3.5236964e+01      5.6000000e-18      1.0212802e-05
     6.5000000e+02      7.0000000e+02      1.9732700e+01      1.0000000e-17      1.4702208e-04
