#            mhscp               ctau              width        SR1FULL_375
     1.0000000e+02      1.9732700e-01      1.0000000e-15      0.0000000e+00
     1.0000000e+02      1.3155133e-01      1.5000000e-15      0.0000000e+00
     1.0000000e+02      8.9694091e-02      2.2000000e-15      0.0000000e+00
     1.0000000e+02      6.1664687e-02      3.2000000e-15      0.0000000e+00
     1.0000000e+02      3.5236964e-02      5.6000000e-15      0.0000000e+00
     1.0000000e+02      1.9732700e-02      1.0000000e-14      0.0000000e+00
     1.0000000e+02      1.0962611e-02      1.8000000e-14      0.0000000e+00
     1.0000000e+02      5.3331622e-03      3.7000000e-14      0.0000000e+00
     1.0000000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     1.0000000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     1.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.9732700e+06      1.0000000e-22      0.0000000e+00
     1.2500000e+02      1.9732700e+04      1.0000000e-20      0.0000000e+00
     1.2500000e+02      1.9732700e+03      1.0000000e-19      0.0000000e+00
     1.2500000e+02      3.9465400e+02      5.0000000e-19      0.0000000e+00
     1.2500000e+02      1.9732700e+02      1.0000000e-18      0.0000000e+00
     1.2500000e+02      1.0962611e+02      1.8000000e-18      0.0000000e+00
     1.2500000e+02      6.1664687e+01      3.2000000e-18      0.0000000e+00
     1.2500000e+02      3.5236964e+01      5.6000000e-18      0.0000000e+00
     1.2500000e+02      1.9732700e+01      1.0000000e-17      0.0000000e+00
     1.2500000e+02      1.3155133e+01      1.5000000e-17      0.0000000e+00
     1.2500000e+02      8.9694091e+00      2.2000000e-17      0.0000000e+00
     1.2500000e+02      6.1664687e+00      3.2000000e-17      0.0000000e+00
     1.2500000e+02      4.2897174e+00      4.6000000e-17      0.0000000e+00
     1.2500000e+02      2.9018676e+00      6.8000000e-17      0.0000000e+00
     1.2500000e+02      1.9732700e+00      1.0000000e-16      0.0000000e+00
     1.2500000e+02      1.3155133e+00      1.5000000e-16      0.0000000e+00
     1.2500000e+02      8.9694091e-01      2.2000000e-16      0.0000000e+00
     1.2500000e+02      6.1664687e-01      3.2000000e-16      0.0000000e+00
     1.2500000e+02      4.2897174e-01      4.6000000e-16      0.0000000e+00
     1.2500000e+02      2.9018676e-01      6.8000000e-16      0.0000000e+00
     1.2500000e+02      1.9732700e-01      1.0000000e-15      0.0000000e+00
     1.2500000e+02      1.3155133e-01      1.5000000e-15      0.0000000e+00
     1.2500000e+02      8.9694091e-02      2.2000000e-15      0.0000000e+00
     1.2500000e+02      6.1664687e-02      3.2000000e-15      0.0000000e+00
     1.2500000e+02      3.5236964e-02      5.6000000e-15      0.0000000e+00
     1.2500000e+02      1.9732700e-02      1.0000000e-14      0.0000000e+00
     1.2500000e+02      1.0962611e-02      1.8000000e-14      0.0000000e+00
     1.2500000e+02      5.3331622e-03      3.7000000e-14      0.0000000e+00
     1.2500000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     1.2500000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     1.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.9732700e+06      1.0000000e-22      0.0000000e+00
     1.5000000e+02      1.9732700e+04      1.0000000e-20      0.0000000e+00
     1.5000000e+02      1.9732700e+03      1.0000000e-19      0.0000000e+00
     1.5000000e+02      3.9465400e+02      5.0000000e-19      0.0000000e+00
     1.5000000e+02      1.9732700e+02      1.0000000e-18      0.0000000e+00
     1.5000000e+02      1.0962611e+02      1.8000000e-18      0.0000000e+00
     1.5000000e+02      6.1664687e+01      3.2000000e-18      0.0000000e+00
     1.5000000e+02      3.5236964e+01      5.6000000e-18      0.0000000e+00
     1.5000000e+02      1.9732700e+01      1.0000000e-17      0.0000000e+00
     1.5000000e+02      1.3155133e+01      1.5000000e-17      0.0000000e+00
     1.5000000e+02      8.9694091e+00      2.2000000e-17      0.0000000e+00
     1.5000000e+02      6.1664687e+00      3.2000000e-17      0.0000000e+00
     1.5000000e+02      4.2897174e+00      4.6000000e-17      0.0000000e+00
     1.5000000e+02      2.9018676e+00      6.8000000e-17      0.0000000e+00
     1.5000000e+02      1.9732700e+00      1.0000000e-16      0.0000000e+00
     1.5000000e+02      1.3155133e+00      1.5000000e-16      0.0000000e+00
     1.5000000e+02      8.9694091e-01      2.2000000e-16      0.0000000e+00
     1.5000000e+02      6.1664687e-01      3.2000000e-16      0.0000000e+00
     1.5000000e+02      4.2897174e-01      4.6000000e-16      0.0000000e+00
     1.5000000e+02      2.9018676e-01      6.8000000e-16      0.0000000e+00
     1.5000000e+02      1.9732700e-01      1.0000000e-15      0.0000000e+00
     1.5000000e+02      1.3155133e-01      1.5000000e-15      0.0000000e+00
     1.5000000e+02      8.9694091e-02      2.2000000e-15      0.0000000e+00
     1.5000000e+02      6.1664687e-02      3.2000000e-15      0.0000000e+00
     1.5000000e+02      3.5236964e-02      5.6000000e-15      0.0000000e+00
     1.5000000e+02      1.9732700e-02      1.0000000e-14      0.0000000e+00
     1.5000000e+02      1.0962611e-02      1.8000000e-14      0.0000000e+00
     1.5000000e+02      5.3331622e-03      3.7000000e-14      0.0000000e+00
     1.5000000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     1.5000000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     1.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.7500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.9732700e+06      1.0000000e-22      0.0000000e+00
     1.7500000e+02      1.9732700e+04      1.0000000e-20      0.0000000e+00
     1.7500000e+02      1.9732700e+03      1.0000000e-19      0.0000000e+00
     1.7500000e+02      3.9465400e+02      5.0000000e-19      0.0000000e+00
     1.7500000e+02      1.9732700e+02      1.0000000e-18      0.0000000e+00
     1.7500000e+02      1.0962611e+02      1.8000000e-18      0.0000000e+00
     1.7500000e+02      6.1664687e+01      3.2000000e-18      0.0000000e+00
     1.7500000e+02      3.5236964e+01      5.6000000e-18      0.0000000e+00
     1.7500000e+02      1.9732700e+01      1.0000000e-17      0.0000000e+00
     1.7500000e+02      1.3155133e+01      1.5000000e-17      0.0000000e+00
     1.7500000e+02      8.9694091e+00      2.2000000e-17      0.0000000e+00
     1.7500000e+02      6.1664687e+00      3.2000000e-17      0.0000000e+00
     1.7500000e+02      4.2897174e+00      4.6000000e-17      0.0000000e+00
     1.7500000e+02      2.9018676e+00      6.8000000e-17      0.0000000e+00
     1.7500000e+02      1.9732700e+00      1.0000000e-16      0.0000000e+00
     1.7500000e+02      1.3155133e+00      1.5000000e-16      0.0000000e+00
     1.7500000e+02      8.9694091e-01      2.2000000e-16      0.0000000e+00
     1.7500000e+02      6.1664687e-01      3.2000000e-16      0.0000000e+00
     1.7500000e+02      4.2897174e-01      4.6000000e-16      0.0000000e+00
     1.7500000e+02      2.9018676e-01      6.8000000e-16      0.0000000e+00
     1.7500000e+02      1.9732700e-01      1.0000000e-15      0.0000000e+00
     1.7500000e+02      1.3155133e-01      1.5000000e-15      0.0000000e+00
     1.7500000e+02      8.9694091e-02      2.2000000e-15      0.0000000e+00
     1.7500000e+02      6.1664687e-02      3.2000000e-15      0.0000000e+00
     1.7500000e+02      3.5236964e-02      5.6000000e-15      0.0000000e+00
     1.7500000e+02      1.9732700e-02      1.0000000e-14      0.0000000e+00
     1.7500000e+02      1.0962611e-02      1.8000000e-14      0.0000000e+00
     1.7500000e+02      5.3331622e-03      3.7000000e-14      0.0000000e+00
     1.7500000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     1.7500000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     1.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.9732700e+06      1.0000000e-22      0.0000000e+00
     2.0000000e+02      1.9732700e+04      1.0000000e-20      0.0000000e+00
     2.0000000e+02      1.9732700e+03      1.0000000e-19      0.0000000e+00
     2.0000000e+02      3.9465400e+02      5.0000000e-19      0.0000000e+00
     2.0000000e+02      1.9732700e+02      1.0000000e-18      0.0000000e+00
     2.0000000e+02      1.0962611e+02      1.8000000e-18      0.0000000e+00
     2.0000000e+02      6.1664687e+01      3.2000000e-18      0.0000000e+00
     2.0000000e+02      3.5236964e+01      5.6000000e-18      0.0000000e+00
     2.0000000e+02      1.9732700e+01      1.0000000e-17      0.0000000e+00
     2.0000000e+02      1.3155133e+01      1.5000000e-17      0.0000000e+00
     2.0000000e+02      8.9694091e+00      2.2000000e-17      0.0000000e+00
     2.0000000e+02      6.1664687e+00      3.2000000e-17      0.0000000e+00
     2.0000000e+02      4.2897174e+00      4.6000000e-17      0.0000000e+00
     2.0000000e+02      2.9018676e+00      6.8000000e-17      0.0000000e+00
     2.0000000e+02      1.9732700e+00      1.0000000e-16      0.0000000e+00
     2.0000000e+02      1.3155133e+00      1.5000000e-16      0.0000000e+00
     2.0000000e+02      8.9694091e-01      2.2000000e-16      0.0000000e+00
     2.0000000e+02      6.1664687e-01      3.2000000e-16      0.0000000e+00
     2.0000000e+02      4.2897174e-01      4.6000000e-16      0.0000000e+00
     2.0000000e+02      2.9018676e-01      6.8000000e-16      0.0000000e+00
     2.0000000e+02      1.9732700e-01      1.0000000e-15      0.0000000e+00
     2.0000000e+02      1.3155133e-01      1.5000000e-15      0.0000000e+00
     2.0000000e+02      8.9694091e-02      2.2000000e-15      0.0000000e+00
     2.0000000e+02      6.1664687e-02      3.2000000e-15      0.0000000e+00
     2.0000000e+02      3.5236964e-02      5.6000000e-15      0.0000000e+00
     2.0000000e+02      1.9732700e-02      1.0000000e-14      0.0000000e+00
     2.0000000e+02      1.0962611e-02      1.8000000e-14      0.0000000e+00
     2.0000000e+02      5.3331622e-03      3.7000000e-14      0.0000000e+00
     2.0000000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     2.0000000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     2.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.2500000e+02      1.0000000e+99      0.0000000e+00      1.5158237e-16
     2.2500000e+02      1.9732700e+06      1.0000000e-22      1.5158145e-16
     2.2500000e+02      1.9732700e+04      1.0000000e-20      1.5149037e-16
     2.2500000e+02      1.9732700e+03      1.0000000e-19      1.5066503e-16
     2.2500000e+02      3.9465400e+02      5.0000000e-19      1.4705451e-16
     2.2500000e+02      1.9732700e+02      1.0000000e-18      1.4267081e-16
     2.2500000e+02      1.0962611e+02      1.8000000e-18      1.3594444e-16
     2.2500000e+02      6.1664687e+01      3.2000000e-18      1.2497361e-16
     2.2500000e+02      3.5236964e+01      5.6000000e-18      1.0830069e-16
     2.2500000e+02      1.9732700e+01      1.0000000e-17      8.3565455e-17
     2.2500000e+02      1.3155133e+01      1.5000000e-17      6.2527691e-17
     2.2500000e+02      8.9694091e+00      2.2000000e-17      4.1964780e-17
     2.2500000e+02      6.1664687e+00      3.2000000e-17      2.4037895e-17
     2.2500000e+02      4.2897174e+00      4.6000000e-17      1.1243876e-17
     2.2500000e+02      2.9018676e+00      6.8000000e-17      3.5422590e-18
     2.2500000e+02      1.9732700e+00      1.0000000e-16      7.1368820e-19
     2.2500000e+02      1.3155133e+00      1.5000000e-16      7.5141169e-20
     2.2500000e+02      8.9694091e-01      2.2000000e-16      8.0524393e-21
     2.2500000e+02      6.1664687e-01      3.2000000e-16      1.3789593e-21
     2.2500000e+02      4.2897174e-01      4.6000000e-16      2.1646340e-22
     2.2500000e+02      2.9018676e-01      6.8000000e-16      1.8728928e-23
     2.2500000e+02      1.9732700e-01      1.0000000e-15      9.3614730e-25
     2.2500000e+02      1.3155133e-01      1.5000000e-15      1.5144666e-26
     2.2500000e+02      8.9694091e-02      2.2000000e-15      6.5956066e-29
     2.2500000e+02      6.1664687e-02      3.2000000e-15      3.2958188e-32
     2.2500000e+02      3.5236964e-02      5.6000000e-15      4.8023437e-40
     2.2500000e+02      1.9732700e-02      1.0000000e-14      2.5548660e-54
     2.2500000e+02      1.0962611e-02      1.8000000e-14      3.2466508e-80
     2.2500000e+02      5.3331622e-03      3.7000000e-14      1.0585464e-141
     2.2500000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     2.2500000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     2.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.5000000e+02      1.0000000e+99      0.0000000e+00      6.7329769e-10
     2.5000000e+02      1.9732700e+06      1.0000000e-22      6.7329358e-10
     2.5000000e+02      1.9732700e+04      1.0000000e-20      6.7288688e-10
     2.5000000e+02      1.9732700e+03      1.0000000e-19      6.6920164e-10
     2.5000000e+02      3.9465400e+02      5.0000000e-19      6.5308193e-10
     2.5000000e+02      1.9732700e+02      1.0000000e-18      6.3351365e-10
     2.5000000e+02      1.0962611e+02      1.8000000e-18      6.0349569e-10
     2.5000000e+02      6.1664687e+01      3.2000000e-18      5.5455653e-10
     2.5000000e+02      3.5236964e+01      5.6000000e-18      4.8023396e-10
     2.5000000e+02      1.9732700e+01      1.0000000e-17      3.7010431e-10
     2.5000000e+02      1.3155133e+01      1.5000000e-17      2.7658380e-10
     2.5000000e+02      8.9694091e+00      2.2000000e-17      1.8533632e-10
     2.5000000e+02      6.1664687e+00      3.2000000e-17      1.0595737e-10
     2.5000000e+02      4.2897174e+00      4.6000000e-17      4.9446217e-11
     2.5000000e+02      2.9018676e+00      6.8000000e-17      1.5523486e-11
     2.5000000e+02      1.9732700e+00      1.0000000e-16      3.1075946e-12
     2.5000000e+02      1.3155133e+00      1.5000000e-16      3.2047214e-13
     2.5000000e+02      8.9694091e-01      2.2000000e-16      3.2585482e-14
     2.5000000e+02      6.1664687e-01      3.2000000e-16      5.3953384e-15
     2.5000000e+02      4.2897174e-01      4.6000000e-16      8.3278019e-16
     2.5000000e+02      2.9018676e-01      6.8000000e-16      6.6617867e-17
     2.5000000e+02      1.9732700e-01      1.0000000e-15      2.5578614e-18
     2.5000000e+02      1.3155133e-01      1.5000000e-15      2.4754905e-20
     2.5000000e+02      8.9694091e-02      2.2000000e-15      6.0268921e-23
     2.5000000e+02      6.1664687e-02      3.2000000e-15      1.6175295e-26
     2.5000000e+02      3.5236964e-02      5.6000000e-15      6.0241354e-35
     2.5000000e+02      1.9732700e-02      1.0000000e-14      2.3122633e-50
     2.5000000e+02      1.0962611e-02      1.8000000e-14      2.1737533e-78
     2.5000000e+02      5.3331622e-03      3.7000000e-14      5.9362895e-145
     2.5000000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     2.5000000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     2.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.7500000e+02      1.0000000e+99      0.0000000e+00      2.5330602e-06
     2.7500000e+02      1.9732700e+06      1.0000000e-22      2.5330448e-06
     2.7500000e+02      1.9732700e+04      1.0000000e-20      2.5315140e-06
     2.7500000e+02      1.9732700e+03      1.0000000e-19      2.5176429e-06
     2.7500000e+02      3.9465400e+02      5.0000000e-19      2.4569701e-06
     2.7500000e+02      1.9732700e+02      1.0000000e-18      2.3833192e-06
     2.7500000e+02      1.0962611e+02      1.8000000e-18      2.2703425e-06
     2.7500000e+02      6.1664687e+01      3.2000000e-18      2.0861650e-06
     2.7500000e+02      3.5236964e+01      5.6000000e-18      1.8064884e-06
     2.7500000e+02      1.9732700e+01      1.0000000e-17      1.3921364e-06
     2.7500000e+02      1.3155133e+01      1.5000000e-17      1.0403410e-06
     2.7500000e+02      8.9694091e+00      2.2000000e-17      6.9715605e-07
     2.7500000e+02      6.1664687e+00      3.2000000e-17      3.9864996e-07
     2.7500000e+02      4.2897174e+00      4.6000000e-17      1.8613577e-07
     2.7500000e+02      2.9018676e+00      6.8000000e-17      5.8511810e-08
     2.7500000e+02      1.9732700e+00      1.0000000e-16      1.1736436e-08
     2.7500000e+02      1.3155133e+00      1.5000000e-16      1.2084458e-09
     2.7500000e+02      8.9694091e-01      2.2000000e-16      1.2016288e-10
     2.7500000e+02      6.1664687e-01      3.2000000e-16      1.9151469e-11
     2.7500000e+02      4.2897174e-01      4.6000000e-16      2.7596746e-12
     2.7500000e+02      2.9018676e-01      6.8000000e-16      1.9076818e-13
     2.7500000e+02      1.9732700e-01      1.0000000e-15      5.6838704e-15
     2.7500000e+02      1.3155133e-01      1.5000000e-15      3.2116721e-17
     2.7500000e+02      8.9694091e-02      2.2000000e-15      2.7976879e-20
     2.7500000e+02      6.1664687e-02      3.2000000e-15      1.3754530e-24
     2.7500000e+02      3.5236964e-02      5.6000000e-15      8.4472325e-35
     2.7500000e+02      1.9732700e-02      1.0000000e-14      2.6487381e-53
     2.7500000e+02      1.0962611e-02      1.8000000e-14      1.0627013e-86
     2.7500000e+02      5.3331622e-03      3.7000000e-14      8.0452064e-166
     2.7500000e+02      1.9732700e-03      1.0000000e-13      0.0000000e+00
     2.7500000e+02      1.9732700e-04      1.0000000e-12      0.0000000e+00
     2.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.0000000e+02      1.0000000e+99      0.0000000e+00      1.9333372e-04
     3.0000000e+02      1.9732700e+06      1.0000000e-22      1.9333254e-04
     3.0000000e+02      1.9732700e+04      1.0000000e-20      1.9321570e-04
     3.0000000e+02      1.9732700e+03      1.0000000e-19      1.9215698e-04
     3.0000000e+02      3.9465400e+02      5.0000000e-19      1.8752601e-04
     3.0000000e+02      1.9732700e+02      1.0000000e-18      1.8190436e-04
     3.0000000e+02      1.0962611e+02      1.8000000e-18      1.7328079e-04
     3.0000000e+02      6.1664687e+01      3.2000000e-18      1.5922180e-04
     3.0000000e+02      3.5236964e+01      5.6000000e-18      1.3787145e-04
     3.0000000e+02      1.9732700e+01      1.0000000e-17      1.0623662e-04
     3.0000000e+02      1.3155133e+01      1.5000000e-17      7.9374861e-05
     3.0000000e+02      8.9694091e+00      2.2000000e-17      5.3168898e-05
     3.0000000e+02      6.1664687e+00      3.2000000e-17      3.0376075e-05
     3.0000000e+02      4.2897174e+00      4.6000000e-17      1.4155779e-05
     3.0000000e+02      2.9018676e+00      6.8000000e-17      4.4272715e-06
     3.0000000e+02      1.9732700e+00      1.0000000e-16      8.7467410e-07
     3.0000000e+02      1.3155133e+00      1.5000000e-16      8.4052719e-08
     3.0000000e+02      8.9694091e-01      2.2000000e-16      6.4860409e-09
     3.0000000e+02      6.1664687e-01      3.2000000e-16      7.8051147e-10
