#            mprod              mhscp              width               c300
     1.4000000e+03      1.0000000e+03      3.2000000e-16      6.1237072e-07
     1.4000000e+03      1.0000000e+03      4.6000000e-16      6.6962637e-09
     8.5000000e+01      7.5000000e+01      1.0000000e+06      0.0000000e+00
     9.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.4000000e+03      1.0000000e+03      1.0000000e+06      0.0000000e+00
     1.4000000e+03      1.1000000e+03      0.0000000e+00      4.7877733e-01
     1.4000000e+03      1.1000000e+03      1.0000000e-18      4.5100228e-01
     1.4000000e+03      1.1000000e+03      5.6000000e-18      3.4270990e-01
     1.4000000e+03      1.1000000e+03      3.2000000e-17      7.3196572e-02
     1.4000000e+03      1.1000000e+03      4.6000000e-17      3.3479221e-02
     1.4000000e+03      1.1000000e+03      6.8000000e-17      1.0389847e-02
     1.4000000e+03      1.1000000e+03      1.0000000e-16      2.1338011e-03
     1.4000000e+03      1.1000000e+03      1.5000000e-16      2.2496613e-04
     1.4000000e+03      1.1000000e+03      2.2000000e-16      1.3194794e-05
     1.4000000e+03      1.1000000e+03      3.2000000e-16      3.3956448e-07
     1.4000000e+03      1.1000000e+03      4.6000000e-16      3.2441925e-09
     9.0000000e+01      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.0000000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.4000000e+03      1.1000000e+03      1.0000000e+06      0.0000000e+00
     1.4000000e+03      1.2000000e+03      1.0000000e-22      4.2604831e-01
     1.4000000e+03      1.2000000e+03      0.0000000e+00      4.2605099e-01
     1.4000000e+03      1.2000000e+03      1.0000000e-18      4.0013547e-01
     1.4000000e+03      1.2000000e+03      5.6000000e-18      3.0030138e-01
     1.4000000e+03      1.2000000e+03      3.2000000e-17      6.0907503e-02
     1.4000000e+03      1.2000000e+03      4.6000000e-17      2.7242326e-02
     1.4000000e+03      1.2000000e+03      6.8000000e-17      8.1843583e-03
     1.4000000e+03      1.2000000e+03      1.0000000e-16      1.6093373e-03
     1.4000000e+03      1.2000000e+03      1.5000000e-16      1.5947987e-04
     1.4000000e+03      1.2000000e+03      2.2000000e-16      8.6513320e-06
     1.4000000e+03      1.2000000e+03      3.2000000e-16      2.0158373e-07
     1.4000000e+03      1.2000000e+03      4.6000000e-16      1.6905366e-09
     1.0000000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.0000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.4000000e+03      1.2000000e+03      1.0000000e+06      0.0000000e+00
     1.4050000e+03      1.4000000e+03      1.0000000e-22      2.6557183e-01
     1.4050000e+03      1.4000000e+03      0.0000000e+00      2.6557372e-01
     1.4050000e+03      1.4000000e+03      1.0000000e-18      2.4735934e-01
     1.4050000e+03      1.4000000e+03      5.6000000e-18      1.7952074e-01
     1.4050000e+03      1.4000000e+03      1.5000000e-17      9.5683494e-02
     1.4050000e+03      1.4000000e+03      3.2000000e-17      3.2720831e-02
     1.4050000e+03      1.4000000e+03      4.6000000e-17      1.4215428e-02
     1.4050000e+03      1.4000000e+03      6.8000000e-17      4.1369913e-03
     1.4050000e+03      1.4000000e+03      1.0000000e-16      7.8543050e-04
