#            mhscp              width               c000               c100               c200               c300
     5.0000000e+01      5.6000000e-15      1.6143396e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-14      1.8282961e-26      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-14      8.7856666e-41      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.7000000e-14      1.0612498e-74      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-13      5.5102747e-187      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      0.0000000e+00      1.2442197e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-22      1.2442156e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-20      1.2438158e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-19      1.2401864e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e-19      1.2241839e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-18      1.2044717e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.8000000e-18      1.1735919e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      3.2000000e-18      1.1214503e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.6000000e-18      1.0374115e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-17      8.9939796e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.5000000e-17      7.6477325e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      2.2000000e-17      6.0955496e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      3.2000000e-17      4.4098494e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      4.6000000e-17      2.8051975e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      6.8000000e-17      1.3816349e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-16      4.9781880e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.5000000e-16      1.0606965e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      2.2000000e-16      1.6383467e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      3.2000000e-16      3.8781346e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      4.6000000e-16      1.6045194e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      6.8000000e-16      4.9453828e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-15      9.3046244e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.5000000e-15      7.2950375e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      2.2000000e-15      2.2711086e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      3.2000000e-15      1.8120597e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
