#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: Zjets
# Mother  Daughter  Eff. 
150   40   0.0000056
190   90   0.0000172
170   40   0.0000227
260   60   0.0000124
320   170   0.0000127
240   60   0.0000419
220   170   0.0000000
290   110   0.0000251
270   180   0.0000184
290   100   0.0000441
270   40   0.0000244
290   140   0.0000180
250   130   0.0000435
150   50   0.0000000
220   10   0.0000058
110   0   0.0000108
160   40   0.0000113
180   70   0.0000311
340   30   0.0000194
230   130   0.0000059
150   20   0.0000178
180   10   0.0000233
240   0   0.0000059
320   180   0.0000000
210   80   0.0000353
280   120   0.0000190
270   170   0.0000314
240   190   0.0000059
170   20   0.0000346
290   70   0.0000316
130   50   0.0000170
120   70   0.0000059
260   50   0.0000244
290   40   0.0000262
110   40   0.0000000
110   10   0.0000059
150   60   0.0000172
250   70   0.0000242
190   10   0.0000178
190   130   0.0000063
340   100   0.0000498
320   190   0.0000385
220   0   0.0000000
340   140   0.0000188
330   170   0.0000382
270   130   0.0000120
150   0   0.0000056
100   20   0.0000000
140   90   0.0000000
180   80   0.0000000
190   20   0.0000000
250   160   0.0000183
170   140   0.0000000
210   160   0.0000000
330   160   0.0000510
240   40   0.0000365
250   90   0.0000242
280   150   0.0000442
200   140   0.0000000
180   110   0.0000172
180   120   0.0000000
220   80   0.0000181
250   60   0.0000189
260   110   0.0000119
340   180   0.0000510
270   50   0.0000499
260   170   0.0000492
130   70   0.0000000
