#          mC1_GeV            mN1_GeV          width_GeV                eff
     2.9982200e+02      2.9965000e+02      1.3164000e-15      3.8443000e-03
     2.9982200e+02      2.9965000e+02      1.0970000e-15      4.0321000e-03
     2.9982200e+02      2.9965000e+02      9.4028571e-16      4.1122000e-03
     2.9982200e+02      2.9965000e+02      8.2275000e-16      4.1228000e-03
     2.9982200e+02      2.9965000e+02      7.3133333e-16      4.0766000e-03
     2.9982200e+02      2.9965000e+02      6.5820000e-16      4.0051000e-03
     2.9982200e+02      2.9965000e+02      4.3880000e-16      3.5322000e-03
     2.9982200e+02      2.9965000e+02      3.2910000e-16      3.0781000e-03
     2.9982200e+02      2.9965000e+02      2.6328000e-16      2.6969000e-03
     2.9982200e+02      2.9965000e+02      2.1940000e-16      2.3887000e-03
     2.9982200e+02      2.9965000e+02      1.6455000e-16      1.9483000e-03
     2.9982200e+02      2.9965000e+02      1.3164000e-16      1.6338000e-03
     2.9982200e+02      2.9965000e+02      1.0970000e-16      1.4062000e-03
     2.9982200e+02      2.9965000e+02      9.4028571e-17      1.2355000e-03
     2.9982200e+02      2.9965000e+02      8.2275000e-17      1.1014000e-03
     2.9982200e+02      2.9965000e+02      7.3133333e-17      9.9158000e-04
     2.9982200e+02      2.9965000e+02      6.5820000e-17      9.0551000e-04
     4.0026800e+02      4.0009600e+02      6.5820000e-14      1.3908000e-11
     4.0026800e+02      4.0009600e+02      4.3880000e-14      3.2635000e-08
     4.0026800e+02      4.0009600e+02      3.2910000e-14      3.2733000e-07
     4.0026800e+02      4.0009600e+02      2.6328000e-14      1.3675000e-06
     4.0026800e+02      4.0009600e+02      2.1940000e-14      3.8904000e-06
     4.0026800e+02      4.0009600e+02      1.6455000e-14      1.7652000e-05
     4.0026800e+02      4.0009600e+02      1.3164000e-14      4.7123000e-05
     4.0026800e+02      4.0009600e+02      1.0970000e-14      9.3523000e-05
     4.0026800e+02      4.0009600e+02      9.4028571e-15      1.6114000e-04
     4.0026800e+02      4.0009600e+02      8.2275000e-15      2.4508000e-04
     4.0026800e+02      4.0009600e+02      7.3133333e-15      3.4604000e-04
     4.0026800e+02      4.0009600e+02      6.5820000e-15      4.6290000e-04
     4.0026800e+02      4.0009600e+02      4.3880000e-15      1.1569000e-03
     4.0026800e+02      4.0009600e+02      3.2910000e-15      1.9029000e-03
     4.0026800e+02      4.0009600e+02      2.6328000e-15      2.5853000e-03
     4.0026800e+02      4.0009600e+02      2.1940000e-15      3.1733000e-03
     4.0026800e+02      4.0009600e+02      1.6455000e-15      4.0451000e-03
